reproductiveCondition	reps
HOW SEXED: GONADS. OVARY 3 X 2 MM, OVA VERY SMALL.	3
HOW SEXED: GONADS. OVARY 4 X 1.5 MM, STRONGLY MARKED FEMALE.	1
HOW SEXED: GONADS. OVARY 5 X 3 MM, TRANSPARENT.	3
HOW SEXED: GONADS. OVARY 5.5 X 4 MM, OVA TO 1 MM.	1
HOW SEXED: GONADS. OVARY 9 X 5 MM, LARGEST OVULE LESS THAN 1 MM.	1
HOW SEXED: GONADS. OVARY DIFFUSE, CIRCA 5 X 3 MM.	1
HOW SEXED: GONADS. OVARY GRANULAR, NO LARGE EGGS.	2
HOW SEXED: GONADS. OVARY SLIGHTLY ENLARGED AFTER BREEDING.	1
HOW SEXED: GONADS. OVARY SMOOTH.	1
HOW SEXED: GONADS. OVARY VERY SLIGHTLY ENLARGED.	1
HOW SEXED: GONADS. OVARY WITH DEVELOPING OVULES, 8 MM X 7 MM.	1
HOW SEXED: GONADS. POSSIBLE TESTES DRAWN.	3
HOW SEXED: GONADS. TWO TESTES CIRCA 2 X 0.3 +? OVIDUCT L.	1
HOW SEXED: PLUMAGE. GONADS. REMOVED DURING AUTOPSY.	1
HOW SEXED: PLUMAGE. POSSIBLE TESTES DECOMPOSED.	1
HOW SEXED: UNMARKED MEANS. OVARY: 7X5MM. LARGEST OVA 1MM.	1
HOW SEXED: UNMARKED MEANS. SEX DEDUCED.	12
HOW SEXED: UNMARKED MEANS. TESTES 1 X 1 MM.	5
HOW SEXED: UNMARKED MEANS. TESTES: 7X4.5MM.	1
Lact; 3 pac scars	2
MT10	2
Mated to NJ female #1	1
NO MOULT	8
ORIGINALLY MARKED AS FEMALE.	1
Only L. testes seen: drawing on label	2
Ovaire blanchâtre non granuleux.	5
Ovaire à ovules assez gros.	1
Ovary: 17 x 12 mm	1
Ovary: 2.5 x 0.8 mm	2
Ovary: 5.5 x 2.5 mm	10
Ovary: 6 x 3.0 mm (ova </= 1 mm)	1
Ovary: 6 x 5 mm, granular	2
Ovary: drawing on label; degenerating	1
Ovocyte : 0,5 mm, ovaire : 6 mm	1
P1983 reared 1983 on persimmon	1
Plumage d'hiver.	2
Plus grand ovocyte : 3 mm	1
Preg; 4 embs: CR=6mm	1
Pregnant. 4 fetuses.	1
R testis 9.0 x 3.0mm.	1
R3, L3, CRL=15, VC, mamm. lg.	1
Reared from egg. Ecl. 3 Jun 1953	1
Reared in lab by S.A.Ae, 1956. Ancestor: wild female (P-62); F1 of female P-62-9-7 (=Brood B); black-veined	1
Reared in lab; F1 of female no. 57; 15 males, 13 females in Schmidt Box, 1 male in envelope	1
SEXED BY D. S. WOOD, NOTE LARGE SIZE.	1
Sleeved on Pyrus Xpurpurea at Hamden, Connecticut ca. 9 May-June 1978. Dale F. Schweitzer. Ex Ovis, ecl. 8 July 1978, bred Dale F. Schweitzer, larva without a dark dorsal stripe	1
Spermatangial on special midrib proliferations	1
T=1.5 x 1 mm	1
T=12 X 8 mm	1
T=15x7 mm	1
T=16x8mm	1
T=4 x 3	1
T=8 (L), 7 (R)	1
TA (3 X 1.4)	1
TS (18x10)	1
TS=20x4	1
TS=25x12	3
TSL=6x4	3
Testes 10x4.5mm	1
Testes: L 16 x 6 mm, R 11 x 5 mm	1
Testes: L 8 x 6 mm, R 8 x 4 mm	2
Testes: L- 8 x 6 mm, R- 6 x 4 mm	1
Testes: seen clearly, drawing on label	1
Testicules : 15 x 7 mm.	2
Testicules : 3 x 2 mm.	1
Testicules jaunes brun.	1
Testicules noirs : 0,5 x 0,5 mm.	2
Testis L: 4x6mm	1
Tissue-Tail tip taken	2
Trois ovocytes de 3 mm. Oviducte très dilaté.	1
Un oocyte jaune de 8 mm de diamètre	1
Unable to sex	1
VC, 1 emb, CRL=15 (saved)	1
VC, 4 embs, 1L, 3R, 18 mm, mammae large	1
VC, pg, R=2, L=2, CRL=20 mm	1
VO, 4 embs, 2L, 2R, 4 mm	1
VO, 6 embs	1
VO, 8 embs, 6L, 2R	1
Vag. clsd; parous; scars	1
abortion feto embr de 25x13	1
anterídeo; arquegónio	15
bare brood patch	4
bred ex. ovis, female in Loc	1
brood patch 3, t: l 19.9x9.4, r 17.6x11.3 mm	2
brood patch 4, t: l 10.7x4, r 9x4.9 mm	2
brood patch 4, t: l 8.2x5.6, r 6.3x5.9 mm	2
brood patch downy, lrgst follicle 3 mm, oviduct enlarged	2
brood patch downy, t: l: 6x4, r: 5x4 mm	2
brood patch downy: 95x60 mm, t: l: 7x5, r: 4x3 mm	2
brood patch forming	1
brood patch present, ovary granular	1
coitu	1
cross 12-72 (1972): New Jersey male, wild X New jersey sib female	1
ecl 25 May 1981. Taken on Magnolia virgin.	1
embs: 1(R)&0(L)	1
ex Iarva on gleditsia aquatica	1
ex larvae on Salix	1
ex ova, emerged Hollisten, MA, 26 Jun 1996	1
ex ovis lot P1984B Eldora, Cape May Co., N.J. reared on persimmon, ecl 30 jun '85 reared C.B. Worth	1
ex ovis: ULAL-A02	1
ex-pupa 22 Oct 1957	1
flowering/ fruiting	1
from egg larvae, Ecl. 2/10/1983	1
gonads=large yolk sacks 10 x 9 mm, unshelled egg in distal part	1
gonads=largest ova 1.5 mm; brood patch=present	1
gonads=lg ova 3 x 3 mm	3
gonads=male, testes 10 X 5mm	1
gonads=ova 1 mm, non-breeding	1
gonads=ovaries enlarged	1
gonads=ovary 10x16mm, ova 6mm	1
gonads=ovary 11 x 9 mm, largest ova 3 mm	1
gonads=ovary 3 x 1 mm, ova minute	2
gonads=ovary 4 x 2 mm, granular; brood patch=bare	1
gonads=ovary 6 x 3 mm; ova 1 x 1 mm	1
gonads=ovary 8 x 4 mm; three raptured follicles 4, 3, 2 mm; brood patch=bare	1
gonads=ovary 8 x 6 mm; largest ova 1 mm; oviduct not enlarged; brood patch=none	1
gonads=ovary 8 x 6 mm; largest ova 2 mm; oviduct 3 mm at cloaca; brood patch=thickened	1
gonads=ovary 8 x 7, lg ova 2 mm	1
gonads=ovary 9 x 5 mm, granular	1
gonads=testes (L) 12 x 5 mm, (R) destroyed	1
gonads=testes (L) 14 x 7 mm; (R) 13 x 7 mm; one seminal vesicle 7 x 6 mm; tubules enlarged	1
gonads=testes (L) 5 x 4 mm; (R) 5 x 4 mm; one seminal vesicle 4 x 3 mm, tubules visible	1
gonads=testes (L) 6 x 4 mm; (R) 2 x 1.5 mm	1
gonads=testes (L) 6 x 5 mm; (R) 6 x 5 mm; one seminal vesicle 3 mm, tubules visible	1
gonads=testes (L) 9 x 5 mm; (R) 6 x 4 mm	1
gonads=testes 10 x 4 mm	11
gonads=testes 12 and 8.5 mm	1
gonads=testes 12 x 8 mm	16
gonads=testes 3 mm; brood patch=refeathering	1
gonads=testes 4 x 3 (L), 3 x 2 mm	1
gonads=testes 5 mm	15
gonads=testes 7 x 5 (L) & 5.5 x 3.5 mm	1
gonads=testes 9 x 5 (L) & 7 x 6, one seminal vesicle 5 x 4 mm, tubules enlarged	1
gonads=testis (L) 8 x 5 mm; (R) 5 x 4 mm; 3rd testis 1 x 1 mm; brood patch=watery	1
gonads=testis (R) 11 x 8 mm; one seminal vesicle 5 mm, tubules visible	1
gonads=testis 1.6 mm	1
hard shelled egg in oviduct, ov: 13x10, ova: 7x5 mm	2
lactating; plac scar 2L 3R	2
larva April-June 2004 ecl. 14-15 Oct 2005	1
lgst ovum = 15 x 12 mm; R ovary 58mm, L ovary 32 mm length	1
lgst ovum= 1.3 mm	1
lot of 16 larvae	1
lrgst ova: 4x4 mm	8
lrgst ovum: 5 mm, oviduct: 4 mm	2
lt: 4x5, rt: 4x5 mm	1
mammae enlarged; Post lactating	2
no brood patch, t: l 9x2.4 mm	2
no emb., 3 scars	5
no enb	1
not pregnant; not lactating; mammary tissue present	4
ov: 1.5x2.5 mm, from drawing	1
ov: 10x6 mm, ova 2x2 mm	1
ov: 10x6 mm, small granules	10
ov: 11x10, lrgst ova: 6x6 mm	1
ov: 11x6, ovum: 2x2 mm	1
ov: 12x15 mm	2
ov: 12x7 mm, shelless egg in oviduct	3
ov: 13x5 mm, from drawing	2
ov: 15x10 mm, ovum: 3x? mm, shelless egg in oviduct	2
ov: 15x7, lrgst ova: 0.5x0.5 mm	2
ov: 15x8, lrgst ovum: 1x1 mm	1
ov: 2 or 3 mm, granular, brood patch defeathering, no ruptured follicles	1
ov: 20x10 mm	10
ov: 2x1 mm, smooth	97
ov: 2x3 mm, oviduct enlarged, eight follicles: 4 mm	2
ov: 3 mm, brood patch regrowing	16
ov: 35x12x11 mm, granular	2
ov: 5.5x3 mm, from drawing	2
ov: 5x3 mm, inactive	17
ov: 5x4 mm, measurement from label	2
ov: 6x8, ova: 2x3 mm	1
ov: 7x3 mm, see label	3
ov: 7x4 mm, egg close to being laid 21x15 mm, oviduct enlarged	1
ov: 7x4, ova: 1.5 mm	1
ov: 7x5 mm, granular, also four eggs	2
ov: 8x4 mm, from original drawing	1
ov: 8x6, lrgst ova: 1x1 mm, oviduct starting to enlarged	1
ov: 9x14 mm, lrgst follicle: 3 mm	2
ov: 9x4 mm	63
ov: 9x6, lrgst ova: 2x1 mm, brood patch present	1
ov: > 1 mm	1
ova = 2x1mm	1
ova granular, brood patch active	2
ovary 6x2 mm, ova not visible	1
ovary and ovaduct much enlarged; ovum 14 mm	1
ovary with follicles	2
ovary, see label, brooding patch	1
ovary: 22 x 12 mm, largest ova: 6.5, 5, 4 mm, oviduct enlarged	1
oviduct developed	4
oviduct developed, brood patch well developed, some down feathers	2
oviduct enlarged, ov: 12 mm	2
oviduct enlarged, shelled egg in oviduct, 3 follicles: 12 mm	1
pg. 1R, 0L,  CRL=17	1
plac scar-4; lactating	10
pregnant; 4 male fetuses 8.5 cm of carapace lenght	1
pregnant; 6 emb; CR-23; lactating	2
pregnant; CR-6	2
pregnant; vagina perforate; 4L 3R emb; CR-9; mammary tissue present; not lactating	2
pupa 2 jun 1990, emerged 29 jun 1990	1
rt: 14x10 mm	1
see diagram on Munro label	1
sexual organs swollen	1
sibling of ROMM 20796	2
small penis	10
t: 0.3125x0.125 in	2
t: 0.8x0.8 mm	1
t: 002, enlarging, t: 3x2, 2x2 mm, see original label	1
t: 1.5x8, 3x14 mm, see original label	2
t: 1/4 and 3/8 in	1
t: 13x6, 11x4 mm, brood patch regrowing	2
t: 15x11 mm	11
t: 19, 17 mm long	2
t: 2.5x2.5, 2x2.5 mm, measurement from label, enlarging, non breeding plumage	1
t: 2x2, 1x1 mm	1
t: 2x2, 3x2 mm, see label	3
t: 2x6, 2x6 mm	2
t: 2x8 mm	13
t: 3x1 mm, from drawing	10
t: 3x2, 4x1 mm	2
t: 43, see label	1
t: 4x4, 5x5 mm, enlarged, from drawing	1
t: 5x3, 5x3 mm	2
t: 5x4.5 mm	2
t: 6x2, 6x2 mm	2
t: 7x4, 7x4 mm, breeding	1
t: 8.9x5.8 mm	2
t: 8x5, cloacal protuberance: 4.44 mm	1
t: l 6x4 mm	1
testes 10x5mm	1
testes 15mm	1
testes 5 X 3	1
testes = 1 1/2x2 1/2mm	2
testes = 1.8x4.0mm	1
testes = 1x6 mm	1
testes = 2.5mm	3
testes = 3 x 8 mm	1
testes = 4 x 9 mm, not descended	1
testes = 7x11mm	1
testes-11.5	4
testes-12X10; scrotal	4
testes-25X15	2
testes-4X2; non-scrotal	193
testes-7 x 4	1
testes-7x6	16
testes-8x4; scrotal	9
testes-9	93
testes= 2 x 2.5mm	1
testes= 2.1x1.7 mm	1
testes= 2.3mm	1
testes= 2x3 mm	3
testes= 3.0x5.9 mm	1
unshelled egg in oviduct, 2 ruptured follicles	1
vagina barely open; 5 placental scars; 3 embryos	1
vagina closed; R=3, L=2 placental scars	1
vagina imperforate; 4 plac scar 2L 2R	2
vagina open,  lactating, 4 embryos, CRL=19 mm	1
vagina open; 5 mammae seen; 3 embryos; cr-21	1
vagina slighly opened, no scars or embryos	1
very old brood patch, old ruptured follicles	1
(1x1)	2
1 emb:1L, 1R; CR=1 mm	1
1 emb; CR-12	3
1 emb; CR-50	1
1 ova 4 mm, brood patch defeathering	1
11 embs, 5L, 6R, 10 mm	1
17 May 1979	1
2 embryos; cr-10	1
2 embs/2R+0L/cr = 14mm	1
3 emb; cr-3	1
4 collapsed follicles, brood patch present	1
4 embs, 2L, 2R, 2 mm	1
4 embs, 2L, 2R, 26 mm	1
4 embs, 6 mm	3
4 embs: 2lf&2rt=3mm	1
4 embs:2(L)&2(R); CR=14mm	1
5 eggs laid	1
5 embryos R=2, L=3, CRL=5mm, lactating	1
5 embryos, R=2, L=3, CRL=4mm	1
5 embs, 3R, 2L=7 mm	1
6 plac scar 4L 2R	2
7 embs, 3L, 4R	1
8 embs, 20.4 mm	1
8 pouch young	2
8x5	1
Adult, Liver Tissue	1
Bred, ex larva, emerged 10 Jan 1946	1
COULD NOT SEX. EVISCERATED PRIOR TO PREPARATION.	1
Charles Oliver Phyciodes Broods: 75-79 Fayette Co. PA Females X Spruce Knob, W. VA. Males	1
Charles Oliver Phyciodes Broods: Campestris 75-4A, capestris Females X tharos Males	1
Emerged from pupa (in vial)	1
Ex ovis, Piatrix-A82	1
Ex ovis, female 813A	1
Ex ovis, female 813A Conn.: New Haven, West Rock, sleeved May-June 1981 on Quercus ecl. 7 July leg.&bred D.F. Schweitzer	1
GONADS DECOMPOSED.	8
Gonads not distinct	3
Grappe indifférenciée.	2
HOW SEXED: GONADS, LEFT TESTIS 4.5 X 3.5 MM.	1
HOW SEXED: GONADS, LEFT TESTIS 5.0 X 4.0 MM.	1
HOW SEXED: GONADS, LEFT TESTIS 9 X 4 MM.	2
HOW SEXED: GONADS, LEFT TESTIS < 1 MM.	1
HOW SEXED: GONADS, SKETCH OF TESTES ON LABEL.	14
HOW SEXED: GONADS, TESTES 1 MM DIAMETER.	7
HOW SEXED: GONADS, TESTES 11 X 3.5 MM, LEFT BLACK.	2
HOW SEXED: GONADS, TESTES 2 X 1 MM, BLACK.	3
HOW SEXED: GONADS, TESTES 28 X 15 MM.	1
HOW SEXED: GONADS, TESTES 3 MM X 2 MM, BLACK.	1
HOW SEXED: GONADS, TESTES 3 X 2 MM AND 2 X 1.5 MM.	1
HOW SEXED: GONADS, TESTES CIRCA 1.5 MM.	1
HOW SEXED: GONADS, TESTES CIRCA 10 X 6 MM, PARTLY DECOMPOSED.	1
HOW SEXED: GONADS, TESTES CIRCA 2 MM.	2
HOW SEXED: GONADS, TESTES CIRCA 5 X 3 MM.	5
HOW SEXED: GONADS, TESTES DESTROYED BY SHOT.	1
HOW SEXED: GONADS, TESTES DRAWN. TESTES 2 X 4 MM.	1
HOW SEXED: GONADS, TESTES LEFT 10.5 X 3 MM, RIGHT 10 X 2.5 MM.	1
HOW SEXED: GONADS, TESTES LEFT 14 X 7 MM, RIGHT 12 X 8 MM.	1
HOW SEXED: GONADS, TESTES LEFT 3 X 2 MM, RIGHT 2.5 X 1 MM.	1
HOW SEXED: GONADS, TESTES LEFT 3.5 X 2 MM, RIGHT 2.5 X 1.5 MM.	1
HOW SEXED: GONADS, TESTES LEFT 4 X 2 MM, RIGHT 6 X 3 MM, YELLOW.	1
HOW SEXED: GONADS, TESTES LEFT 6.5 X 2.5 MM, RIGHT 4.5 X 2 MM.	1
HOW SEXED: GONADS, TESTES MINUTE.	8
HOW SEXED: GONADS, TESTES MODERATELY ENLARGED, BREEDING.	12
HOW SEXED: GONADS, TESTES NOT MEASURED, BLACK.	1
HOW SEXED: GONADS, TESTES RIGHT 8 X 8 MM, LEFT 10.5 X 9 MM.	1
HOW SEXED: GONADS. BREEDING CONDITION. LARGEST OVUM 8 MM, OVIDUCT SWOLLEN.	1
HOW SEXED: GONADS. DRAWN. BREEDING.	2
HOW SEXED: GONADS. LEFT OVARY 25 X 12 MM.	1
HOW SEXED: GONADS. LEFT TESTIS 10 X 4 MM, RIGHT TESTIS 8 X 2 MM.	1
HOW SEXED: GONADS. ONE DUCT VISIBLE, DECOMPOSING.	1
HOW SEXED: GONADS. ONE DUCT VISIBLE, OVUM PARTIALLY RUPTURED, GRANULAR	1
HOW SEXED: GONADS. ONE TESTIS DECOMPOSED. DUCTS FOUND.	1
HOW SEXED: GONADS. OVARY 1.5 X 1 MM, WHITISH.	1
HOW SEXED: GONADS. OVARY 11 X 5 MM, LARGEST OVA 1.5 MM.	1
HOW SEXED: GONADS. OVARY 13 X 7 MM, OVA TO 1 MM.	2
HOW SEXED: GONADS. OVARY 14 X 2 MM.	1
HOW SEXED: GONADS. OVARY 17 X 4.5 MM.	1
HOW SEXED: GONADS. OVARY 3.5 X 2.4 MM, NO OVIDUCT.	1
HOW SEXED: GONADS. OVARY 4 X 5 MM, TRANSPARENT.	1
HOW SEXED: GONADS. OVARY 6 X 2.5 MM.	16
HOW SEXED: GONADS. OVARY 8 MM, ONE OVUM.	1
HOW SEXED: GONADS. OVARY APPROXIMATELY 8 X 8 MM.	1
HOW SEXED: GONADS. OVARY CIRCA 6 X 2 MM, LARGEST OVA 1 MM.	1
HOW SEXED: GONADS. OVARY DRAWN. OVARY GRANULAR, DUCT UNUSED.	1
HOW SEXED: GONADS. OVARY GRANULAR SKETCH ON TAG.	1
HOW SEXED: GONADS. OVARY GRANULAR WITH OVULES, DUCT LUMPY.	1
HOW SEXED: GONADS. OVARY GRANULAR, DRAWN, OVIDUCT USED.	1
HOW SEXED: GONADS. OVARY LEFT 13 X 3 MM, RIGHT 6 X 2.5 MM.	1
HOW SEXED: GONADS. OVARY OPAQUE. DUCT NOT LUMPY.	1
HOW SEXED: GONADS. OVIDUCT SLIGHTLY ENLARGED.	1
HOW SEXED: GONADS. TESTES 12 X 2.5 MM.	1
HOW SEXED: GONADS. TESTES DRAWN..	1
HOW SEXED: GONADS. TESTES? DESTROYED.	1
HOW SEXED: OTHER. EGG IN OVIDUCT.	1
HOW SEXED: SIZE. FEMALE BY BILL SIZE.	1
HOW SEXED: UNMARKED MEANS. EVICERATED IN PREVIOUS AUTOPSY.	3
J. H. Gerould research: Brood, 1916, I, II, and III	1
Largest ovum 17 mm. Brood patch.	1
Larvae hatched 14-15 June, Prepupal 7-9 July, sleeved Quercus phellos, ex ovis, ecl. 27 July 2001	1
No Data	1
Ovaire blanc à ovules non distincts.	1
Ovaire à petits ovules jaunâtres.	1
Ovary: 11 x 6 mm	1
Ovary: 11 x 6 mm.  Largest follicle: 9.0 x 8.5.   Oviduct well-developed with 9.0 mm yolk inside, egg white present.  Ovary measured without two largest follicles.	1
Ovary: 9 x 3.5 mm, Largest ovum: 2 mm	2
Ovary: 9.5 x 6 mm.  Largest follicle: 1.25 mm	1
Oviducte developpé, plus gros follicule :  3 x 2 mm. Plaque incubatrice présente.	1
PARTLY DECOMPOSED.	1
Pas de plaque incubatrice. Construisait son nid.	1
Plaque incubatrice présente. Testicules : 2 x 2 mm.	2
Plus grand follicule :  1 x 1 mm. Plaque incubatrice présente.	1
Plus grand follicule : 0,5 x 5 mm. Plaque incubatrice ?	1
Reared ab ovo in N.J. on Tilia cordatta by F. Rutkowski. emgd. 5:45 AM, 18 Aug 1989.	1
Reaved ex larvae from broad stock	2
Spermatangial, carpogonial branches & cystocarpic	1
T present	1
T= 9 mm, scrot.	1
T=11 X 6 mm	3
T=17mm	7
T=21 X 21 mm	1
T=22x11	2
T=3.4x7.4mm, adm.	1
T=3x1	16
T=50 mm, scrot.	1
T=6 mm, sem ves large	1
T=6 x 9 mm, scrot.	1
TA (15x10)	1
TA (3x2) subadult	1
TA (6x3)	4
TA 12x7	2
TA= 25x15	1
TA=16x8	2
TA=4x2.5	3
TS (11 X 7)	8
TS=20x5	1
TS=25x13	3
TSM (7.7 X 3.7)	1
TSS=12x7	2
Testes 2x5mm	1
Testes L 5x11mm, R 6x11mm.	1
Testes each 15.0 x 6.0mm.	1
Testes not found, baculum with skeleton.	1
Testes: L 1 x 1, R 1 x 2 mm	1
Testes: L 12 x 8 mm, R 7 x 3 mm	2
Testes: L 7 x 4.5 mm, R 6 x 4.5 mm	2
Testes: left: 0.0195g, right: 0.0164g. Testes: L 4.0 x 3.0, R 3.5 x 3.0 mm.	1
Testicule gauche noir, droit blanc.	2
Testicules 0,5 x 0,5 mm. Pas de plaque incubatrice.	6
Testicules : 0,8 mm.	1
Testicules : 1,5 x 1,5 mm.	1
Testicules jaune brunâtre.	2
Testicules jaune grisâtre.	2
Testis: 12.0 mm.	1
Uterus: MO, no placental scars.	1
VC, 3R, 1L	1
VC, 6 embs, 2L, 4R, 10 mm	1
VC, pg., R1, L4, CRL=4 mm	1
VO, no embs, bleeding	1
VO, pg, R2, L3, CRL=20 mm	1
brood patch 0, lrgst follicle 4.5 mm, oviduct developed somewhat	2
brood patch 3, t: l 8.4x5.8, r 6.6x5.2 mm, vas deferens developed	2
brood patch 4, t: l 9.5x5.6, r 6.4x5.7 mm	2
brood patch 75x40 mm, brood patch 4, t: l 14.8x6.2, r 12.3x4.8 mm	2
brood patch defeathered, old ruptured follicles, oviduct regressing	1
brood patch defeathering, old ruptured follicles	1
brood patch downy, lt: 8x5, rt: 6x5 mm	2
brood patch=watery	13
collected as larvae, emerged 1984	1
defeathering, no brood patch	1
e pupa; emgd 25 Aug 1971	1
emb-1/cr = 20	1
ex ova emerged Holliston, Ma. 3 Aug 1994	1
ex ovo, ecl 15 Sep 1977	1
gonads=T=9mm	1
gonads=largest ovum 3.5 mm, convoluted oviduct	1
gonads=largest ovum 5 mmn; three raptured follicles; brood patch=present	1
gonads=ovary 14 x 8 mm; largest ova 1 mm	1
gonads=ovary 2.5 x 4 mm	1
gonads=ovary 2x7mm	1
gonads=ovary 4 x 2 mm; granular	3
gonads=ovary 5 x 3 mm, granular; brood patch=large and dry	1
gonads=ovary 5 x 4, lg ova <1 mm	1
gonads=ovary 6 x 4 mm; largest ova 1 mm; oviduct 2 mm at cloaca; brood patch=bare	1
gonads=ovary 6 x 6 mm; largest ova 1 mm; 1 raptured follicle; oviduct 4 mm at cloaca; brood patch=large watery	1
gonads=ovary 6x12mm	2
gonads=ovary 8 x 7 mm; largest ova 9, 6, 4 mm; unshelled egg in oviduct 13 x 10 mm	1
gonads=testes (L) 10 x 7 mm; (R) 7 x 6 mm	1
gonads=testes (L) 11 x 5 mm; (R) 10 x 5 mm; one seminal vesicle 6 x 4 mm; tubules enlarged	1
gonads=testes (L) 5 x 2.5 mm; (R) 5 x 2 mm	1
gonads=testes (L) 6 x 4 mm; (R) 5 x 5 mm; one seminal vesicle 3 x 2 mm; tubules visible	1
gonads=testes (L) 7 x 4 mm; (R) 3 x 3 mm	1
gonads=testes 11 x 6 mm	7
gonads=testes 15x4mm	1
gonads=testes 5x3mm	11
gonads=testes 6 x 4 (L) & 4 x 4 mm; brood patch=large bare	1
gonads=testis (R) 7 x 5 mm; one seminal vesicle 5 mm, tubules visible; brood patch=present	1
gravdi	1
lactating, vagina open	1
lgst ovum = 5x6mm	1
lrgst ova: less than 1 mm	2
lrgst ovary granular	1
lrgst ovum: 4x4 mm	5
lt: 1.6x1.3, rt: 1.6x1.2 mm	1
lt: 8x3 mm	1
ne; 3 plac sc; 2l, 1r	1
no brood patch, t: l: 7x3, r: 5x3 mm	2
no data	1
no embs/7 scars/horn 5"	1
non-flowering	2
not pert., no emb.	17
on nest with 4 eggs	2
ov: 11x6, lrgst ovum: 1 mm	1
ov: 12x.5 mm, granular, from drawing	2
ov: 12x8, lrgst ova: 2x3 mm	1
ov: 16x7 mm, granular	2
ov: 18x9 mm	4
ov: 20x12 mm, ova: 8x7 mm	1
ov: 20x14, lrgst egg: 12x12 mm	1
ov: 22x17 mm	2
ov: 39x27, ova: 10x14, 9x8 mm, oviduct enlarged	2
ov: 3x4.5 mm	8
ov: 5x3 mm, ova: 1x1 mm	2
ov: 7x12 mm, from drawing	2
ov: 7x15 mm, granular, lrgst ovum: 2x2 mm	2
ov: 7x5 mm, small granules	9
ov: N/B = no breeding ?	15
ov: ca 24 mm	2
ova: 13.3, 6.8, 5.1 mm	2
ovary = 3x5x1mm	1
ovary = 5x3mm, ova <1mm	7
ovary developed, ova size of no 7 shot	2
ovary fertilized	1
ovary granular, brood patch active and vascular	1
ovary granular, no brood patch, no ova enlarged	1
ovary large with large ova	2
oviduct very large	2
ovigenous	3
post-zygotosporangial	1
pregnant; 1 emb; CR-10	73
pregnant; 1 emb; CR-29; emb WT-4.3; mother of ROMM 91191, REM2379	2
pregnant; 1 emb; CR-516; emb 516-41-210-44; emb WT-2835	2
reared ex ovo on pinus strobus, larvae rejected many hardooeds ecl 15-20 july 1977 reared D.F. Schweitzer mother Carol Walters	1
shelled egg in enlarged oviduct, ova: 9x9, 6x6 mm	1
shelless egg, ov: 10x10 mm	1
small	13
t: 0.25x0.25x0.375 in, large	1
t: 1.5x1 mm	80
t: 10x7 mm, cloacal protuberance	1
t: 13x7, 11x6 mm, brood patch regrowing	2
t: 15x7 mm	34
t: 16x20 mm	4
t: 19.6x14 mm	2
t: 2 : enlarging	16
t: 3 mm	106
t: 3.5x5 mm	4
t: 4.5x4, 3.5x3 mm, from drawing, see label	1
t: 4.5x7.5 mm	1
t: 6x10 mm	34
t: 6x? mm	2
t: 7.4x3.3 mm	2
t: No 10 shot, see label	1
t: rounded immature, long	1
testes 5 X 4	1
testes = 1.6x2.5mm	2
testes = 10x13.9mm	1
testes = 4x2mm	10
testes moderately large	1
testes-11.6	1
testes-13X9; scrotal	2
testes-15X10; non-scrotal	2
testes-18X11;	8
testes-20X8	4
testes-25X15; non-scrotal	4
testes-25x15; scrotal	3
testes-43; scrotal	1
testes-45x25	1
testes-7 x 5	1
testes-8X5; scrotal	149
testes-epididymis wt-5.35	2
testes-epididymis wt-9.82	2
testes: L 5 x 2 mm, R 4 x 1.5 mm	1
testes= 1.8x1.8 mm	1
testes= 1.8x3.0mm	1
testes= 2.4x3.9mm	2
testes= 3.7x5.7 mm	1
testis = 11.0 mm long	1
testis = 4x4mm	1
vagina barely open; 4 mammae large, inguinal; not lactating; 2 embryos; cr-12; 2 distinct and 2 faint scars in right horn	1
vagina open; 8 mammae visible much mammary tissue; 5 embryos; cr-22	1
"Incubating"	1
(11x7)	1
(5x2)	6
1 Emb; CR-19	1
1 emb; CR-13	2
1 emb; cr-2	1
1TA/1TS 13x7	1
1x18 mm	1
2 Rt , 0 Lt plac scars	1
2 large embryos	1
265316~ANTPA.004414	49
3 emb, 1R, 2L=29mm, VC, mamm. large	1
3 embryos in left horn, 1 in right, crown to rump 25mm	1
3 embs, 15 mm	2
3 embs: 2(L)&1(R)=13mm	1
32 ova; largest 23X18	1
4 embs, 3L, 1R, 16 mm	1
4 embs, 3L, 1R, 5 mm	2
4 embs/2L/2R/CR=28mm	1
4 fetuses in right horn, crown to rump 21mm, collected in ETOH	1
5 eggs all: 1x1 mm	2
5 emb; cr-8	1
5 embs, 1L, 4R, 36 mm	1
5 embs, 2R, 3L, CRL=11, mammae large	2
5 embs.	1
5 embs/2R/3R/cr=22mm	1
6 emb., cr = 4 mm	1
6 embs, 2L, 4R, 45 mm, mobile	1
6 embs/5R/1L/cr=20mm	1
6 plac scar 4L 2R; mammary tissue present; lactating	2
8 X 4	1
8 embs, 4L, 4R, 5 mm	1
Adult female, SVL 179 mm, tail 279, 210 g	1
Associated with Prunus serotina. a female oviposited next day.	1
At rest on Carya glabra, 2 on same tree	2
Boloria toddi: F1 of CGO Female 68-6. Female Parent ex Forward Tnsp., PA. Male Parent ex Acton, Mass. (Paired 4 Sept 68); out Oct 68.	1
Botón floral-Flor-Fruto	13
Cystocarpic, tetrasporic	415
Ex Ovis, A95 Manumuskin, sleeved on Quercus stellata to soil. 12-14 August 1995.	1
Ex ovis brood ex. 1, reared on Quercus ilicifolia, eclosed 11 July 1980	1
