"identificationQualifier","reps"
"? filamentosa",1
"? fuscescens?",1
"? globulifera?",1
"? Grateloupia?",2
"? guatemalensis",1
"? guazumifolia",1
"? Gymnopilus sp.?",1
"? halogenes",1
"? Hebeloma?",1
"? Helotium?",1
"? hemitomon",1
"? hortulana",1
"? hybrid",2
"? hydrophila grp.",1
"? ID unsure",1
"? ined.",8
"? intermediate",1
"? Lacks stellate cells in medulla",1
"? Lagenaria",1
"? Lentaria?",1
"? Leucopaxillus?",1
"? lurida cv. Milky Way",1
"? lycoperdoides",1
"? maculata?",1
"? manihot",2
"? maxima",1
"? medicaginea",1
"? mexicana",4
"? ""Milky Way""",1
"? miscellaneous",1
"? Molendoa sendtneriana",1
"? Mollisia?",1
"? mottii?",1
"? mukorossi",1
"? munsoniana",1
"? My ""Almost Psathyrella""",1
"? n. sp. ined.",1
"? narrow form",2
"? nashii x virginica",2
"? near",1
"? New",2
"? nigra",1
"? nigromarginata",1
"? not B. pinnatum; B. lancolatum x B. pinnatum?",1
"? or alpestris",1
"? or Clitocybe?",1
"? or fuscofibrillosus?",1
"? or hirtella?",1
"? or Hygrophorus",1
"? or Mycena",5
"? or Omphalia",1
"? or P. linearis (Turner) J. Ag.",2
"? or Ramariopsis crocea?",1
"? or Tricholoma",2
"? or Tricholoma?",1
"? paracinnamomea? (forma pallida)",1
"? pendula",2
"? periplocifolium",1
"? Pilopogon laevis",1
"? pinnata",1
"? pinnata cv. Dark Angel",1
"? piperita",1
"? pityreoides?",1
"? Polyp?",1
"? Possibly longipes.",1
"? praecox",1
"? probably",2
"? Pseudoconfusa",1
"? Psilocybe",1
"? radicans?",1
"? Radicata group = ""silva""",1
"? robusta",1
"? sagittata",1
"? Sapindus mukorossi",1
"? See also S. acinacifolium",1
"? sellovii",1
"? semperflorens",1
"? sensu lato",1
"? sieboldiana cv. Elegans",1
"? simpsonii",1
"? sinensis x Citrus ? reticulata",1
"? sp palmata? harveye?",1
"? sp.",9
"? sp. nov. ined.",1
"? sp.-1",1
"? sp?",1
"? speciosa",1
"? spectabile",1
"? st",1
"? st.",2
"? sylvicola?",1
"? symmicta?",1
"? tecunumanii",1
"? tomentosa",1
"? Trametes?",1
"? Tricholoma ? Hygrophorus",1
"? virginiana",1
"? virginicum",1
"? virginius",1
"? x aurantiifolia",4
"? x C. ebenea",1
"? X Fortunella",1
"?(Ramariopsis ??)",1
"?, c. fr.",1
"?, cf.",2
"?, See also C. torta",1
"?, var.",1
"?/pulverulentus?",1
"?;",622
"?; vel. aff.",1
"??",49
"""??""",2
"?? Calvatia??",1
"?? dissection needed",1
"?? ochraceum",1
"???",757
"???-",1
"???/???",1
"????",1
"???=",1
"?= tetrasporophyte of G. rugosa",1
"?=sexual phase of G. subverticillata",1
"?abietina",1
"?Aphyllophorales",1
"""?appr. S. epilobifolia Ham."" JBN",1
"?Tanymykter",1
"?Tubarioid?",1
"?young",1
"[",2
"[ Spraguea umbellata Torr. ]",1
"[?]",4
"[?]canerscens",1
"[= L. laxiflorus var.  laxiflorus semsu Fl. PNW]",1
"[=ssp. tenuifolia (Nutt. Breitung]",1
"[anamorph of Postia rennyae]",1
"[Andreaea verruculosa Cardot]",1
"[as 'Geaster']",1
"[atrocinctus �� atrovirens �� pedicellatus]",2
"[auth. on label: (Aust.) Broth.]",1
"[auth. on label: (Bory) Duby.]",1
"[auth. on label: ""(Schwaegr.) B. S. G.""]",1
"[auth. on label: (Setchell & Gardner) Hollenberg & Abbott]",1
"[Auth. on label: (Sm) Tuck.]",1
"[auth. on label: (Turn.) Kyl.]",2
"[auth. on label: ""Ag.""]",1
"[auth. on label: Schrad.]",4
"[auth. on label: Wils. ex Mitt.]",1
"[authority on label: (Cham.) Skottsbg.]",1
"[C. dammeri X C. conspicuus]",2
"[calochric?]",1
"[Cascade form]",1
"[crenata �� longifolia]",1
"[E. rubella RydB. s.l]",1
"[formerly Rhodymenia]",2
"[G. binghamiae]",1
"[genus illegible] Gigartinales",2
"[handwriting unclear]",1
"[id doubtful]",1
"[illegible - loutrana?]",1
"[illegible, maybe ""Brachyllum""]",1
"[illegible]",5
"[illegible] gloveri",1
"[illegible] sp.",1
"[Inocybe?]",1
"[labrusca �� riparia]",1
"[labrusca �� vinifera]",1
"[near, but too thin to be typical]",1
"[North American species]",22
"[note pappus in two series]",1
"[on label as ""acaleata""]",1
"[on label as ""farlowiana""]",1
"[on label as ""forma gracilis""]",1
"[on label as ""Morinial""]",1
"[on label as ""Platydicta subtile""]",1
"[on label as ""W. digitalis""]",1
"[on label as ""whidbeyana""]",1
"[or angustus]",1
"[or?] Collybia",1
"[possibly mixed with C. affinis]",1
"[sect. Rubrotincti]",1
"[sp. illegible - helivorbulum??]",1
"[sp. illegible]",2
"[sp. illegible] ?",1
"[sp. nov. ined.]",2
"[sp. obscured]",1
"[spelled as ""collinaum""]",1
"[spelled ""lunulaefolia""]",1
"[unpublished sp.]",2
"[var.] ""brunnea""",1
"[written as ""corallinara""]",2
"[written as ""nelsonia""]",2
"`",38
"~ Omphalina",1
"~ Rhodophylloid",1
"~fusipes/subsulcatipes/""bagleyensis""",1
"+",1
"+ another Lithophyllum",1
"+ Ceramium",1
"+ Micropeuce",1
"+ others ???",1
"=",263
"= Aeodes gardneri?",1
"= Asparagopsis armata",2
"= barbulatum",5
"= Boergeseniella",1
"= brevipes",1
"= Brongniartella mucronata",1
"= Brongniartella mucronata; = Dasya mucronata",2
"= C. arctogena (USDA Plant List)",4
"= C. bullata var. greenei (WCSP)",3
"= C. canescens var. polystachya (WCSP)",1
"= C. canescens var. subloliacea (USDA PLant List)",9
"= C. canescens var. vitilis (WCSP)",1
"= C. cephalantha (USDA Plant List)",2
"= C. concolor (WCSP)",3
"= C. convoluta (USDA Plant List)",38
"= C. crinita var. gynandra (USDA Plant List)",6
"= C. cryptocarpa (USDA Plant List)",1
"= C. deweyana ssp. leptopoda (USDA Plant List)",2
"= C. deweyana var. bolanderi (USDA Plant List)",2
"= C. dioica ssp. gynocrates (USDA Plant List)",9
"= C. epapillosa (USDA Plant List)",1
"= C. festiva var. gracilis (USDA Plant List)",1
"= C. festiva var. haydeniana (WCSP)",1
"= C. festucacea var. brevior (USDA Plant List)",1
"= C. flaccosperma var. glaucodea (USDA Plant List)",1
"= C. flava var. fertilis (USDA Plant List)",4
"= C. foena (USDA Plant List)",6
"= C. foenea (USDA Plant List)",21
"= C. folliculata var. australis (USDA Plant List)",6
"= C. franklinii var. misandroides (USDA Plant List)",1
"= C. haleana (USDA Plant List)",1
"= C. heliophila (USDA Plant List)",6
"= C. howei (USDA Plant List)",9
"= C. lanuginosa (USDA Plant List)",98
"= C. laricinum (USDA Plant List)",1
"= C. lasiocarpa var. latifolia (USDA Plant List)",4
"= C. laxiflora var. blanda",1
"= C. laxiflora var. blanda (USDA Plant List)",1
"= C. leporina (USDA Plant List)",3
"= C. liddoni (WCSP)",3
"= C. limnophila (USDA Plant List)",2
"= C. longirostris (WCSP)",9
"= C. longirostris var. minor (WCSP)",2
"= C. lunelliana (USDA Plant List)",2
"= C. lurida var. gracilis",1
"= C. muricata var. angustata",1
"= C. muricata var. gracilis (WCSP)",1
"= C. neomexicana (USDA Plant List)",1
"= C. nervina var. jonesii (WCSP)",1
"= C. nesophila (USDA Plant List)",3
"= C. nigromarginata var. minor (USDA Plant List)",1
"= C. nigromarginata var. muhlenbergii (USDA Plant List)",1
"= C. nubicola (USDA Plant List)",1
"= C. obesa var. minor (WCSP)",1
"= C. oblita (USDA Plant List)",4
"= C. paupercula var. irrigua",1
"= C. prionophylla (USDA Plant List)",1
"= C. pseudoscirpoidea (USDA Plant List)",1
"= C. pubescens (WCSP)",1
"= C. riparia (USDA Plant List)",1
"= C. scirpiformis (USDA Plant List)",4
"= C. setacea (USDA Plant List)",1
"= C. sitchensis (USDA Plant List)",2
"= C. sparganioides var. aggregata",1
"= C. sparganioides var. aggregata (USDA Plant List)",1
"= C. stans (USDA Plant List)",2
"= C. stellulata (USDA Plant List)",2
"= C. stenophylla (USDA Plant List)",18
"= C. stenophylla var. enervis (USDA Plant List)",1
"= C. straminea var. brevior (WCSP)",1
"= C. stricta var. elongata (USDA Plant List)",1
"= C. strictior (USDA Plant List)",4
"= C. tenera var. echinodes (WCSP)",1
"= C. xanthocarpa (USDA Plant List)",1
"= Carex strictior (USDA Plant List)",1
"= Chalciporus piperatus (Bull.: Fr.) Bataille",1
"= D. celsa x marginalis",2
"= D. subcroceofolia",1
"= Eudesme zosterae",1
"= Farlowiella onusta",1
"= G. ferox J. Ag.",1
"= H. nidulans",1
"= Halmenia schizymenioides?",1
"= K. perforata",1
"= L. cloustonii",1
"= P. australe",1
"= P. caprinus",1
"= P. cartilagineum",1
"= P. macrocarpa",1
"= P. serotina (WCSP)",1
"= Panicum xalapense var. strictorianum",1
"= Ptilota pectinata",1
"= S. eriocephala var. famelica (USDA Plant List)",6
"= S. eurycarpum var. greenei (USDA Plant List)",4
"= S. mackenziana (USDA Plant List)",5
"= S. tristis (WCSP)",8
"= S. turneri",1
"= S. vulgare var. flavifolium",1
"= scauras var. herpeticus?",1
"= Trachea spaldingi",1
"= U. californica",1
"= V. allenii (Tropicos)",1
"= V. alpina var unalaschcensis (USDA Plant List)",2
"= V. alpina var. unalaschensis (USDA Plant List)",1
"= var. asymmetrica (USDA Plant List)",3
"= var. atriceps (WCSP)",1
"= var. microphylla (USDA Plant List)",2
"= var. obliquum",1
"= var. patulifolia",1
"= Z. tournefortii",1
"=> var. elmeri",1
"=> var. fastigiata",1
"=Acrosiphonia",1
"=Bonnemaisonia hamifera",3
"=M. arizonae",1
"=new species",1
"--> ssp. fasciculatum",2
"--> ssp. implicatum",1
">>var. robustus",1
"000184623",1
"05/75/1966",1
"1",1
"1;",1
"-103.286630",1
"11527",1
"1197 (or -79?)",1
"12 apr 9",1
"-123.013348",1
"1300",1
"1540-type",1
"1573",1
"1603",1
"16765",1
"169013",1
"169020",1
"169022",2
"169026",1
"174292",1
"174312",1
"174322",1
"1905-06-09",31
"1905-06-25",4
"1905-06-26",1
"1905-06-27",46
"1905-06-28",260
"1905-06-29",12
"1905-06-30",94
"1905-07-01",43
"1970",1
"1970-12-13",1
"1973",1
"1977",2
"1983",1
"1984",1
"1985",1
"1987-05",1
"1988",2
"1989",1
"1992",1
"1999",1
"1C2125",1
"2",9
"2 tone ""vibratilis""",1
"2001",1
"2001-05",1
"2003",28
"2003-03-08",1
"2003-04",2
"2005-04-20",1
"2007-07",1
"2010-08",1
"2010-09",1
"2011",1
"2012-04",1
"2014-06",1
"203793",1
"21853",1
"22",1
"22558",1
"26928",1
"2NEP",2
"2x cytotype",32
"2x morphotype",1
"3",6
"304",1
"31627",1
"3186",1
"380-W",1
"3969",1
"4",1
"4 pc",1
"4 pc fine",1
"4 pc.- fine",1
"4 pc.- vs trichoblasts",1
"4561",1
"463",1
"465",1
"4NEP",3
"50%",1
"5431",1
"5NEP",2
"6643",1
"685",1
"70916",1
"961",1
"9NEP",2
"A",2219849
"A / B intergrade",267
"A ?",3055
"A {string}",8998
"A aff.",40
"A and B",172
"A cf.",1011
"a form",1
"a form of",1
"a lichen",1
"a of a&b",1
"A or B",1834
"A sp.",57943
"A ssp.",21073
"a variety of atrovirens",1
"A x B",5797
"A, aff. alpinus",1
"A. adippe",1
"A. aphrodite",4
"A. Ayers",3
"A. C. Sanders",2
"A. C. siccata. B. C. petasata",1
"A. canariensis",1
"A. celtis celtis",2
"A. celtis mentis",1
"A. clio",1
"A. clyton flora",2
"A. columbia",1
"A. cornelia",1
"A. cybele",2
"A. D. King",1
"A. D. Zimmerman",1
"A. daphne",1
"A. euphrosyne",2
"A. H. Smith",1
"A. H. Wilson",1
"A. halesus corcorani",8
"A. halesus estesi",3
"A. K. Williams",2
"A. leto",1
"A. platina",2
"A. sara reakirti",5
"A.H. Smith",1
"A.M.",2
"Aalenian Ss",4
"Aaron Vaughan",2
"abbottae or fallax",1
"abbreviatum/saucium",17
"aberrant?",1
"aberration",1
"Abisai Garcia-Mendoza",1
"abnormal",1
"Absarokius",3
"Acacus Ss",8
"Acanthocladium clastobryoides",1
"Acanthocladium hornschuchii",1
"Acanthocladium japonicum",2
"Acanthocladium sublipidum",1
"Acanthocladium surculare",1
"Acanthocladium tanytrichum",2
"Acanthorrhynchium",4
"Acanthorrhynchium grosso-papillatum",36
"Acanthorrhynchium monostictum",28
"Acanthorrhynchium papillatum",18
"acastus",2
"ACC #3",3
"ACC #4",1
"ACC #5",1
"ACC #6",1
"accius",1
"according to G. Saunders 2005",1
"achaemenes",2
"Acidodontium ramicola",1
"Acinonyx",1
"acmon",1
"Acolea aemula?",1
"Acritoparamys",19
"Acrocryphaea coffeae",2
"Acroladium auriculatum",1
"Acroporium brevipes",1
"Acroporium erythropodium",5
"Acroporium falcifolium",1
"Acroporium fuscoflavum",3
"Acroporium fusco-flavum",15
"Acroporium Lepinei",2
"Acroporium longirostre",4
"Acroporium nipponense",1
"Acroporium obscurum",1
"Acroporium procerum",1
"Acroporium pungens",4
"Acroporium smallii",4
"Acroporum smallii",1
"Actenomys",4
"Actias selene lunae",1
"Actinothuidium hookeri",1
"actinste",1
"ad var.",1
"adamantius",1
"Adapis",1
"Adelothecium jamaicense",1
"Adelphailurus",4
"adherbal",8
"Adinotherium",2
"adiposa",1
"Adjidaumo",12
"""adjustrix""",36
"admixed",1
"adonis",1
"ADZ",3
"ae df. l--argentum",2
"ae drk f. dryas",3
"ae drk f. umbrosa",4
"aegeus",10
"aegus",1
"Aelurodon",6
"aemiliae",11
"Aepinacodon",1
"Aepyceros",3
"Aepyceros ?",1
"Aerobryidium aureo-nitens",1
"Aerobryopsis longissima",23
"Aerobryopsis pernitens",31
"Aerobryopsis scariosa",8
"Aerobryopsis subdivergens",5
"Aerobryopsis wallichii",1
"Aerobryum lanosum",1
"Aerobryum speciosum",3
"aeroginosus group-luteofolius?",1
"aescula",1
"af",2
"af.",16
"aff",68
"aff to hassei",1
"aff,",1
"aff, var",1
"aff.",21596
"aff. Amphibola",3
"aff. atkinsonianus",1
"aff. candicans",1
"aff. Clavulinopsis",2
"aff. endocarpoides",1
"aff. galaxias",7
"aff. gemmata",1
"aff. hydrogramma",1
"aff. klamathensis",10
"aff. lavenbergi",1
"aff. luteorubella",1
"aff. macrocystis",1
"aff. marinus",2
"aff. punctitaeniatus",1
"aff. radicosus",1
"aff. ssp. ficaria",1
"aff. sublilicina",1
"aff. T. extensa (ZA.34645)",1
"aff. T. laboriosa (ZA.34647)",1
"aff. T. versicolor (ZA.34646)",1
"aff. vaginata",3
"aff. violacea",1
"aff., 2 sp.",1
"aff.;",2549
"aff.; ?",2
"aff.; aff.",10
"aff.; ex char.",2
"aff.; ined.",2
"aff.; n. sp.",1
"aff.; s.l.",3
"aff.; sp. nov.",18
"aff: klamathensis",2
"aff;",2
"affin.",6
"affin. Stricta",1
"afranius",2
"after Hafellner",1
"agaric",11
"agaricoid form",1
"Agaricole",1
"Agave cf. schottii x A. parryi",2
"Ageronia amphinome",1
"Ageronia ferentina",2
"agg",1
"agg.",10
"Aglossa? sp.",1
"Agnotocastor",1
"""Agree!""",1
"Agriades glandon rustica",12
"Agriades rustica",16
"Agriochoerus",8
"Agriochoerus ?",1
"Agropyron cristatum 2n = 28 X Agropyron crist",1
"Agropyron cristatum 2n=14 X Elytrigia libanot",1
"Agropyron cristatum -2n=14 X Elytrigia stipif",1
"Agropyron cristatum 2n=14 X Elytrigia stipifo",1
"Agropyron cristatum 2n=28 X Agropyron cristat",1
"Agropyron cristatum 2n=42 X Agropyron cristat",1
"Agropyron cristaum (L.) 2n=14 X Elytrigia sti",1
"Agropyron critatum 2n=14 X Elytrigia stipifol",1
"Ahytherium",1
"Ait",1
"akis",10
"alaskensis",28
"alba",3
"albequina",1
"Alberese Flysch",3
"alberta",22
"Albertosaurus cf.",1
"albidus complex",1
"albimontana",17
"""albino""",1
"albipiluta",1
"albobrunnescens",1
"albofasciatus",2
"albonigra",1
"""alboviolaceous""",1
"Albritton",1
"Alcelaphus",308
"Alces ?",5
"alcinous",1
"alena",22
"aleramica",10
"Aletocyon",1
"alexandra",12
"aliaska",16
"alkaliverens or plexipes",1
"alkalivirens group",1
"Allan D. Zimmerman",1
"Allegheny Fm",2
"Allison J. Headdley",1
"Allodesmus",1
"Allomys",4
"allospora/subfiliformis gps.",1
"allospora/subfiliformis type",1
"""allutus""",1
"alma",14
"Almost fits the description for var. latifolia (Ait.) Fern.",1
"Aloina ericaefolia",1
"alope",7
"Alphadon",31
"Alsate Sh",14
"Alsia abietina",2
"alsia abietina sulliv",1
"Alsia longipes",3
"Alsia longipes L.& L.",1
"Alsia longipes Lullive. et Lesq.",1
"Alsia longipes, Sull. & Lesq.",1
"Alsia longipes. Sull.&Lesq.",1
"Alsia longipipes Sulliv.",1
"Also C. crinita var. gynandra",1
"Also ID as C. crinita var. gynandra",1
"alternative id. O. berteroi",1
"amaura",3
"Amblycastor",1
"Amblystegium adatum",3
"Amblystegium adnatum",5
"Amblystegium confernvidis",1
"Amblystegium confervoides",2
"Amblystegium dissititolium",1
"Amblystegium enerve",1
"Amblystegium Falconeri",1
"Amblystegium fallax",2
"Amblystegium floridanum",1
"Amblystegium glaucum",1
"Amblystegium hygrophilum",1
"Amblystegium ovlalatum",1
"Amblystegium subtile",1
"amboinensis",2
"americana",8
"americus",4
"amica",5
"Amity Sh",1
"Ammotrechula pilosa*",1
"ampelos",17
"ampelos elko",40
"Amphechinus",2
"Amphechinus ?",9
"Amphicyon",6
"Amphicyon?",1
"Amphilemur",2
"Amphoridium mougeotii",1
"ampla form",2
"ampla type",1
"amplirufa",2
"amyloid",1
"An aggregate of supposed hybrids",1
"Anacodon",5
"Anacolia sinensis",2
"anacosta",1
"Analcimorphus",2
"Anamorphic Cronartium",1
"Anancus",1
"Anaptomorphus",2
"anasazi",9
"Anchitherium",8
"Anchomomys",1
"ancilla",13
"Anconodon",2
"and Callithamnion",1
"and dupl.",1
"and Lasiobolus macrotrichus",1
"and Lithophyllum spp.",1
"and Mollisia",1
"and Octospora aggregata",1
"Andalgala Fm",1
"andersoni",2
"Andersson, 1976",3
"andraemon",4
"Andreaea Fauriei",2
"Andrew McDonald",1
"Andrew Salywon",4
"Anectangium",4
"Anectangium euchloron (Schwaeg) Mitt.",14
"Anectangium haleakalae (C. Muller) Paris",8
"Anectangium Pohlia",1
"Anectangium stracheyanum Mitt.",1
"anellariiformis aff.",1
"Anemorhysis",3
"Anemorhysis ?",2
"Angiosperms of Michigan",3
"Angstroemia brevipes",1
"Angstroemia jamaicensis",1
"Angstroemia julaes",1
"angusta/crispa/taeniata complex",3
"angusta/crispa/taeniata?",1
"""angusticeps type""",1
"anicia",3
"Anisonchus",3
"anisospora",1
"Anisota rubicunda",1
"Anisothecium squarrosum",3
"annetta",1
"annetteae",8
"annickae",7
"annulata",6
"annulifer",1
"Anoectangium angustifolium",1
"Anoectangium apiculatum",1
"Anoectangium Bruetelii",1
"Anoectangium crispulum",1
"Anoectangium Dichroum",1
"Anoectangium Jamaicense",1
"Anoectangium liebmannii",1
"Anoectangium rufo-virrde",1
"""anomala""",3
"""anomali""",1
"anomalus complex",3
"anomalus group",2
"Anomobryum chlorosum",1
"Anomobryum latifolium",2
"Anomobryum perimbricatum",2
"Anomodon abbreviatus",1
"Anomodon armatus",2
"Anomodon decurrens",4
"Anomodon integerrimus",1
"Anomodon planatus",1
"Anomodon ramulosus",2
"anona",4
"Anthanassa t. texana",2
"Antheraea eucalypti",1
"Anthophytes of Michigan",9
"Anthracotherium",2
"antibubastus",7
"Antidorcas",1
"Antilocapra",22
"Antilocapra ?",2
"Aongstroemia jamaicensis",4
"Aongstroemia vaginata",1
"ap. Lindl.",1
"ap. nov.",1
"Apa. nevadensis",1
"apache",5
"apacheana",4
"Apalone cf.",3
"Apantesis ophir on label",1
"Apatela brumosa quenie",1
"Apatela clarescens",2
"Apatela funeralis",1
"Apatela oblinita",2
"Apatemys",6
"Apatidini",10
"Apatura pavonii",1
"apennina",10
"apenninicola",1
"Aphanorhegma serratum",11
"Apheliscus",20
"Apheliscus cf.",1
"Aphelops",2
"Aphelops ?",8
"Aphelops?",2
"aphrodite",2
"Aphyllophorales",25
"Aphyllophorales genus?",1
"-apiculata gp.",1
"Apidium",3
"app. longifolium",1
"appalachia",5
"Apparently",4
"appearing closest to",1
"appears to be",1
"appendiculata cf.",1
"appenninicola",1
"appr.",1
"appr. cyrtophyllum",1
"appr. I. acradenia",1
"appr. S. tenuifolia",1
"approaches",2
"approaches more nearly",1
"approaching",3
"approaching A. alpina",1
"approaching A. septenrionalis var. subumbelulata",1
"approaching A.S. puberulenta",1
"Approaching E. leptocladon var. ramosissimum",2
"Approaching Helianthella uniflora var. douglasii. comb. n. ined.",1
"approaching pleniceps?",1
"approaching var admirabilis",1
"approaching var. admirabilis",1
"approaching var. douglasii (n.comb. ined.)",1
"Approaching var. puberulenta",1
"April",4
"aproaching subfusca",1
"Apternodus",5
"ara",1
"arachne",21
"Aranda schrenckiimenaleas",1
"Archaeohippus",10
"Archaeohippus cf.",1
"Archaeomys",5
"Archaeotherium",29
"Archidium Founellii Aust.",1
"Archidium japonicum Broth.",1
"archippus",27
"archippus nr lahontani",6
"arcticus",16
"Arctocyon",4
"arctodon",8
"Arctodus",8
"Arctodus ?",1
"Arctodus?",1
"Arctotherium",1
"arcturus",1
"ardea",9
"ardet. - dulcamara group?",1
"arena",1
"arenamontana",8
"Arfia",9
"Arg. falis (?)",1
"Arg. ino",1
"argellus",9
"""argentatus"" sensu Kauffman",1
"argenteus",2
"argus",9
"Argynnis aphrodite",1
"Argynnis cydippe",2
"Argynnis eurynome",1
"Argynnis rupestris",1
"ariane",1
"arinus",1
"arizonensis",15
"armata/spinosa complex",3
"armata-spinosa complex",1
"Armillaria mellea group",1
"Armillarioid",1
"""armoricana""",1
"Arnheim Fm",27
"Arnheim Sh",29
"Arnold",1
"Arnold, G.",7
"arota",2
"aroxes",2
"arthemis",4
"Arthoniales?",1
"Artificial hybrid",12
"aruensis",1
"arvensis gp?",1
"as D. howellii R & C",1
"As Elymus smithii",1
"as form",1
"as ""genuina""",18
"as 'genuina'",2
"as named",1
"as var. lanceolatus",1
"as var. typica",1
"as: Lonicera group tatarica",1
"ascerta",17
"aschersoni cf.",2
"Asella daphne",1
"Ashdown",1
"ashii?",1
"Ashley N. Cruz",1
"Asinus",1
"Asparagaceae: Agavoideae",1
"Asparagopsis armata",1
"Aspect of",1
"Aspicilia desertorum",1
"Aspidichthys cf.",1
"assimilis",7
"assimils",1
"assorted species",1
"astarte",2
"aster",3
"Aster praealtus",1
"asterias",5
"Astomum austrocrispum",1
"Astomum Crispum",1
"Astomum crispum (Hedw.) Hamp.",5
"Astomum crispum (Hedw.) Hampe",1
"Astonia",1
"astraea",10
"Astrohippus",7
"Astrohippus ?",2
"astyanax",2
"atalanta",4
"athamas",1
"Atoka Fm",5
"Atractylocarpus dicranoides",1
"atrapraetextus",1
"Atrichum aculeata",1
"Atrichum parallelum",1
"Atrichum Portoricense Crum & Steere",2
"Atrichum spinulosum (Card.) Mizushima",3
"atrobrunnea group",1
"atrocostalis",7
"Attacus atlas javaensis",2
"attilia",8
"atypical",9
"atypical - Moser",1
"au nf. fabricii",3
"au nf. harris",1
"audax?",1
"August",2
"augusta",9
"augustifascia",1
"aulacomnium?",1
"aurantiacus-subdulcis group",1
"aurantiobasis complex",1
"aurora",2
"aus1",3
"aus10",32
"aus11",3
"aus12",1
"aus14",2
"aus16",12
"aus17",1
"aus18",7
"aus2",21
"aus20",1
"aus22",1
"aus23",1
"aus26",10
"aus27",6
"aus28",1
"aus29",1
"aus3",6
"aus30",1
"aus31",1
"aus32",2
"aus4",3
"aus5",11
"aus6",1
"aus7",4
"aus8",12
"aus9",5
"ausonides",3
"Austin Konopik",1
"australis",28
"australmontana",5
"Australopithecus",30
"austrodeflexa",1
"auth",1
"auth.; publ?",1
"auth?",1
"authentic",39
"authentic; doubtlessly at least",1
"authentic?",1
"autolycus",5
"auxiliaris",3
"Auxontodon",1
"Aves cf.",3
"avicula",5
"Aweinat Wanin III Fm",7
"Awned form",1
"azota",2
"B",37
"b of a&b",1
"B. A. Baugh",3
"B. Clarke",1
"B. Dani",1
"B. Glover",5
"B. hastifolium",1
"B. intricatum",1
"B. J. Nichols",1
"B. Kihen",1
"B. Kirlen",2
"B. Kitten",10
"B. Lanina",1
"B. Laning",1
"b. leucopepla, Tuck.",1
"B. macrocarpum",1
"B. Mather",1
"B. McBroom",1
"B. McFarland",1
"B. murorum",3
"B. nr.",2
"B. philenor hirsuta",2
"B. Phillips",6
"B. Riiten",1
"B. sp. cf. conferta",2
"B. Stevens",1
"B. tauriscorum",1
"B. Wegner",1
"""B.delicatula"" form",1
"B.S.",1
"Ba",1
"backcross with E. coccineus",1
"badiovinaceus group",1
"bairdi brucei",1
"bairdii",3
"Balaena",3
"Balaenoptera",4
"Balaenoptera cf.",1
"Balaenoptera?",1
"Bangiophyte",1
"Barbella asperifolia Card.",4
"Barbella Determesii (Ren. et Card) Fleisch",1
"Barbella Determesii (Ren. et Card.) Fleisch",1
"Barbella enervis (Thwait. & Mitt.) Fleisch.",4
"Barbella stevennii (Ren. & Card.) Fleisch.",1
"Barbella tenax (C.M.) Broth",1
"Barbella trichophora (Mont.) Fleisch.",1
"Barbella trichophora (Mont.) Fleischer",8
"Barber, V",1
"Barbourofelis",2
"Barbula absuriretis",2
"Barbula aciphylla",1
"Barbula aloides",1
"Barbula australasice",1
"Barbula cavilfolia",1
"Barbula constricta",2
"Barbula crassicostata",1
"Barbula crinita",2
"Barbula crinita Schultz",1
"Barbula fusca",1
"Barbula gigantea",2
"Barbula gigantea Funk",1
"Barbula glauca var. verbana",1
"Barbula hornschuchiana",3
"Barbula hornschuchoana",1
"Barbula horrivervis Satio",1
"Barbula lambarensis P. Varde",1
"Barbula latifolia Bry. eur.",1
"BARBULA NIPPONICA",2
"Barbula nipponica Nog. spec. nov.",3
"Barbula nipponica Nog. var. gracilis Nog. var. nov.",3
"Barbula nipponica Noguchi",1
"Barbula obscuriretis",4
"Barbula obscuriretis Dix.",1
"Barbula pendula",2
"Barbula pilifera",1
"Barbula Poeppigiana",1
"Barbula pseudopilifera",1
"Barbula pseudo-rigidula",1
"Barbula purppuripes",1
"Barbula purpuripes",2
"Barbula revoluta",1
"Barbula revoluta?",1
"Barbula revulata",1
"Barbula rubiginosa",1
"Barbula rufafur",1
"Barbula sinuosa",2
"Barbula spadicea",1
"Barbula subulifolia",6
"Barbula tonquata",1
"Barbula tortuosa",1
"Barbula tosaensis",2
"Barbula tosaensis Broth.",1
"Barbula viridis",1
"Barnesa",1
"barnesi",1
"baroni",14
"Bartell",2
"Bartell, Dan P.",25
"Barton Clay",1
"Bartramia (Eubartramia) strictae-affinis",1
"Bartramia deciduaefolia",1
"Bartramia mossmaniana",3
"Barylambda",1
"basales",3
"Basidiomycota",2
"Basidiomycota. Spec. novo.",2
"Basilonia imperialis",1
"Basilosaurus",4
"Basilosaurus ?",1
"Basipedes",1
"Bassariscus",2
"Bassariscus cf.",4
"batavus",4
"batesii",5
"bathcloides",2
"Bathyopsis",1
"Batodon",1
"Bazzania irtienirs (St.) Niig",1
"Bazzania jamaicensis(?)",1
"Bazzania simillima",1
"'Beatty'",1
"beckeri",4
"Beckham",1
"Beckham, Rick",3
"Beckham, Rick Be",3
"Beekmantown Fm",1
"behludini",1
"behrii",1
"bellona",15
"benjamini",11
"Benkovac Ls",1
"berenice",1
"Berggreniana?",1
"bernadetta",19
"bernardino",9
"Berruvius",1
"Bescherellea cryphaeoides",1
"betw. griseolilacina ss. Stz & violaceus",1
