"lifeStage","reps"
"1-3 days",$2.00
"13 deutonymph",$1.00
"13 egg",$16.00
"13 exuvia",$4.00
"13 Females",$1.00
"13 form I males",$1.00
"13 form II females, 1 form I males, 1 form II",$1.00
"13 form II females, 1 form I males, 13 form I",$1.00
"13 form II females, 10 form II males",$1.00
"13 form II females, 11 form II males",$2.00
"13 form II females, 11 form II males, 3 juv.",$1.00
"13 form II females, 13 form II males",$1.00
"13 form II females, 13 form II males, 8 juv.",$1.00
"13 form II females, 14 form I males, 10 form",$1.00
"13 form II females, 16 form II males",$2.00
"13 form II females, 18 form II males",$1.00
"13 form II females, 2 form I males, 1 form II",$1.00
"13 form II females, 2 form I males, 32 form I",$1.00
"13 form II females, 2 form I males, 5 form II",$2.00
"13 form II females, 3 form I males, 4 form II",$1.00
"13 form II females, 4 form I males, 2 form II",$1.00
"13 form II females, 4 form I males, 3 form II",$2.00
"13 form II females, 4 form I males, 7 form II",$1.00
"13 form II females, 4 form II males",$2.00
"13 form II females, 4 form II males, 69 juv.",$1.00
"13 form II females, 5 form I males, 10 form I",$1.00
"13 form II females, 5 form I males, 2 form II",$1.00
"13 form II females, 5 form I males, 3 form II",$1.00
"13 form II females, 5 form I males, 6 form II",$1.00
"13 form II females, 6 form I males, 4 form II",$1.00
"13 form II females, 6 form II males",$1.00
"13 form II females, 8 form I males, 11 form I",$1.00
"13 form II females, 8 form I males, 14 form I",$1.00
"13 form II females, 9 form I males, 22 form I",$1.00
"13 form II females, 9 form II males",$2.00
"1-3 fresh; 4 large embryo",$1.00
"13 hatched, 10 broken",$2.00
"13 juv. females",$3.00
"13 juv. females, 1 form I males",$1.00
"13 juv. females, 1 form II females, 8 juv. ma",$1.00
"13 juv. females, 10 form I males",$2.00
"13 juv. females, 20 form II females, 20 form",$1.00
"13 juv. females, 22 form II females, 10 juv.",$1.00
"13 juv. females, 4 form I males",$1.00
"13 juv. females, 8 juv. males",$1.00
"13 juv. undetermined",$1.00
"13 juvenile",$6.00
"13 juvenile; 5 adult",$1.00
"13 juveniles",$404.00
"13 juveniles, 1 exuvia",$3.00
"13 juveniles, 1 pupa",$2.00
"13 juveniles, 12 pupae",$1.00
"13 juveniles, 14 pupae",$1.00
"13 juveniles, 2 pupae",$2.00
"13 juveniles, 4 pupae",$3.00
"13 juveniles, 6 pupae",$1.00
"13 juveniles, 8 pupae",$1.00
"13 larva",$1.00
"13 larvae",$6.00
"13 larves",$2.00
"13 Males, 16 Females, 1 Immature",$1.00
"13 months",$4.00
"13 mos",$1.00
"13 nymph",$1.00
"13 oeufs",$1.00
"13 pupae",$8.00
"13 ��r",$1.00
"1-3 to 1-2",$1.00
"13 to 14 days",$1.00
"13 unknown",$66.00
"13 wks",$2.00
"13 Years",$1.00
"13 years old",$1.00
"13 years, 3 months",$1.00
"13 yr.",$1.00
"13.5 weeks",$1.00
"130 adult",$3.00
"130 adults",$1.00
"130 adults + 3 larvae",$1.00
"130 form II females, 3 form I males, 104 form",$1.00
"130 juveniles, 29 pupae",$1.00
"130 juveniles, 6 pupae",$1.00
"1300-01 fresh, 1302 slight",$1.00
"1303-05 slight; 1304 no developm",$1.00
"1306-07 fresh; 1308 very slight",$1.00
"131 adult",$3.00
"131 adults + 124 larvae",$1.00
"131 adults + 2 larvae",$1.00
"131 juv. undetermined",$1.00
"131 juveniles",$3.00
"131 unknown",$1.00
"13-1/3; 4-1/4",$1.00
"1312-14 slight; 1315 very slight",$1.00
"13-15 days",$1.00
"132",$2.00
"132 adult",$11.00
"132 unknown",$1.00
"1320 Fresh; 1321 slight",$1.00
"1322 fresh; 1323 slight; 1324 sl",$1.00
"1324 adult",$1.00
"133 adults + 18 larvae/pupa",$1.00
"133 juveniles",$1.00
"133 unknown",$1.00
"1335 fresh; 1336-37 slight",$1.00
"134 adult",$6.00
"134 adults + 8 larvae",$1.00
"134 adults +19 larvae",$2.00
"134 juveniles",$2.00
"134 larva",$1.00
"134 pupae",$1.00
"134 unknown",$3.00
"134m 160f 3j",$1.00
"135 adult",$5.00
"135 adults + 11 larvae",$1.00
"135 days",$2.00
"135 juveniles",$3.00
"1351-52 Fresh; 1353 slight",$1.00
"1357-58 Fresh; 1359 slight",$1.00
"1358",$1.00
"136 adult",$1.00
"136 adults + 19 larvae",$1.00
"136 unknown",$2.00
"137 adult",$2.00
"137 juveniles",$2.00
"137 juveniles, 1 pupa",$1.00
"137 unknown",$1.00
"138",$1.00
"138 adults + 14 larvae",$1.00
"138 juveniles",$2.00
"1381 fresh; 1382 slight-- yolk l",$1.00
"1384 slight; 1385 fresh; 1386 ve",$1.00
"1387-88 fresh; 1389 very slight",$1.00
"139 adult",$6.00
"139 juveniles",$1.00
"139 unknown",$2.00
"1390-91 fresh; 1392 very slight;",$1.00
"13F",$6.00
"13F  3J",$1.00
"13J",$3.00
"13M",$3.00
"13M 12F",$1.00
"13m 16f 4j",$1.00
"13M 22F 18J",$1.00
"13m 2f",$1.00
"13M 5F",$2.00
"13M, 26F",$1.00
"13M, 3F",$1.00
"13M, 4F",$1.00
"13M11F2J",$1.00
"13M6F20J",$1.00
"14",$7.00
"14 adult",$357.00
"14 adults",$10.00
"14 adults + 1 larva",$5.00
"14 adults + 1 larva/pupa",$1.00
"14 adults + 10 larvae",$1.00
"14 adults + 12 larvae",$1.00
"14 adults + 13 larvae",$1.00
"14 adults + 17 larva +2 pupae",$1.00
"14 adults + 2 larvae",$2.00
"14 adults + 22 larvae",$1.00
"14 adults + 26 larvae/pupae",$1.00
"14 adults + 3 larvae",$1.00
"14 adults + 35 larvae",$1.00
"14 adults + 5 larvae",$1.00
"14 adults + 58 larvae",$1.00
"14 adults + 6 larvae",$1.00
"14 adults + 68 larvae",$1.00
"14 adults + 8 larvae",$1.00
"14 adults + 83 larvae",$1.00
"14 adults sex unknown",$1.00
"14 days",$15.00
"1-4 days",$1.00
"14 days incubated",$1.00
"14 days old chick",$1.00
"1-4 days, 1 fresh",$1.00
"14 Days, Fragments",$1.00
"14 egg",$5.00
"14 egg mass",$1.00
"14 exuvia",$10.00
"14 form II females, 1 form I males",$2.00
"14 form II females, 1 form I males, 12 form I",$1.00
"14 form II females, 1 form I males, 21 form I",$1.00
"14 form II females, 1 form I males, 8 form II",$1.00
"14 form II females, 1 juv. males, 2 form I ma",$1.00
"14 form II females, 10 form I males, 4 form I",$1.00
"14 form II females, 10 form II males, 3 juv.",$1.00
"14 form II females, 11 form I males",$1.00
"14 form II females, 11 form I males, 1 form I",$1.00
"14 form II females, 11 form II males",$1.00
"14 form II females, 17 form I males, 2 form I",$1.00
"14 form II females, 18 form II males",$1.00
"14 form II females, 19 form I males, 3 form I",$1.00
"14 form II females, 4 form I males, 3 form II",$1.00
"14 form II females, 4 form I males, 7 form II",$1.00
"14 form II females, 5 form I males, 5 form II",$1.00
"14 form II females, 6 form I males, 3 form II",$1.00
"14 form II females, 7 form I males, 10 form I",$1.00
"14 form II females, 7 form I males, 14 form I",$1.00
"14 form II females, 7 form I males, 2 form II",$1.00
"14 form II females, 8 form I males, 14 form I",$1.00
"14 form II females, 8 form II males",$1.00
"14 form II females, 9 form I males, 3 form II",$1.00
"14 form II males",$1.00
"1-4 fresh",$1.00
"1-4 fresh; 5-12 small embryos",$1.00
"1-4 fresh; 5-7 large embryos",$1.00
"14 Juv",$1.00
"14 juv. females, 12 juv. males, 2 form I male",$1.00
"14 juv. females, 25 juv. males",$1.00
"14 juv. females, 4 form I males",$1.00
"14 juv. females, 4 form II females, 1 form I",$1.00
"14 juv. females, 6 juv. males, 3 form I males",$1.00
"14 juv. females, 7 form II females, 17 juv. m",$1.00
"14 juv. females, 7 form II females, 7 juv. ma",$1.00
"14 juv. females, 9 juv. males",$1.00
"14 juvenile",$4.00
"14 juveniles",$329.00
"14 juveniles, 1 exuvia",$2.00
"14 juveniles, 1 pupa",$3.00
"14 juveniles, 15 pupae",$1.00
"14 juveniles, 2 pupae",$2.00
"14 juveniles, 3 pupae",$1.00
"14 juveniles, 5 pupae",$2.00
"14 juveniles, 6 pupae",$1.00
"14 larva",$1.00
"14 larvae",$3.00
"14 Male, 13 Female",$1.00
"14 mos",$1.00
"14 nymph",$5.00
"14 pupae",$20.00
"14 ��r",$1.00
"1-4 small embryos; 5-7 fresh",$1.00
"14 to 16 days",$2.00
"14 t��tards",$2.00
"14 unknown",$65.00
"14 years, 11 months",$1.00
"14.5 years old",$1.00
"14+mo *",$1.00
"140 adult",$3.00
"140 adults + 16 larvae",$1.00
"140 adults + 7 larvae",$1.00
"140 juveniles",$1.00
"141 adult",$10.00
"141 adults + 6 larvae",$1.00
"141 days",$3.00
"141 juvenile",$1.00
"141 juveniles",$1.00
"141 unknown",$1.00
"14-15 days",$1.00
"14-16 days",$1.00
"14-16 days after eruption of arms",$1.00
"1418",$1.00
"14-18 days",$1.00
"142 adult",$1.00
"142 adults + 4 larvae",$1.00
"1429-30 fresh; 1431 slight",$1.00
"143 adult",$3.00
"143 juveniles",$1.00
"143 unknown",$3.00
"1436 fresh; 1437 slight; 1438 br",$1.00
"1439-40 fresh; 1441 slight",$1.00
"144 adult",$1.00
"144 juveniles",$1.00
"1449 fresh; 1448, 40 slight",$1.00
"145 adult",$5.00
"145 adults + 66 larvae/pupa",$1.00
"145 juveniles",$1.00
"145 juveniles, 1 pupa",$1.00
"145 unknown",$1.00
"1451-52 fresh; 1453 slight",$1.00
"1454-55 fresh; 1456 slight",$1.00
"1457-58 fresh; 1459 slight",$1.00
"146 adult",$4.00
"146 adults",$1.00
"146 adults + 104 larvae",$2.00
"146 days",$4.00
"147 adult",$3.00
"147 adults + 1 larva",$1.00
"147 adults + 20 larvae",$1.00
"147 adults + 47 larvae",$1.00
"147 juveniles",$3.00
"148",$1.00
"148 adult",$3.00
"148 juveniles, 5 pupae",$1.00
"149 adult",$2.00
"149 juveniles",$2.00
"149 nymph",$1.00
"14day min.",$3.00
"14F",$8.00
"14F 1J",$1.00
"14F, 10J",$1.00
"14J",$4.00
"14M",$1.00
"14M  11F  5J",$1.00
"14m 13f",$1.00
"14M 21F 3J",$1.00
"14M 24F",$1.00
"14M 25F",$1.00
"14M 3F",$1.00
"14M 3F 4J",$1.00
"14M 8F",$1.00
"14M 9F",$1.00
"14M, 16F, 4J",$1.00
"14M, 1F",$2.00
"15",$6.00
"15 adult",$355.00
"15 Adult, sex unknown",$1.00
"15 ADULT; 7 JUVENILE",$1.00
"15 adults",$6.00
"15 adults + 1 larva",$4.00
"15 adults + 13 larvae",$1.00
"15 adults + 2 larvae",$4.00
"15 adults + 23 larvae",$1.00
"15 adults + 3 larvae",$4.00
"15 adults + 4 larvae",$1.00
"15 adults + 43 larvae",$1.00
"15 adults + 5 larvae",$1.00
"15 adults + 5 larvae/pupa",$1.00
"15 adults + 6 larvae",$1.00
"15 adults + 7 larvae",$1.00
"15 adults + 8 larvae",$3.00
"15 adults + 82 larvae",$1.00
"15 adults + 9 larvae",$1.00
"15 adults + ca. 20 larvae",$1.00
"15 adults, 2 juveniles",$1.00
"15 days",$24.00
"15 days, 1 egg fresh",$1.00
"15 days, 1 rotten",$1.00
"15 days.",$1.00
"15 days; Downy chick",$1.00
"15 egg",$8.00
"15 exuvia",$13.00
"15 form II females, 1 form I males, 19 form I",$1.00
"15 form II females, 10 form I males, 3 form I",$1.00
"15 form II females, 11 form I males",$1.00
"15 form II females, 11 form I males, 12 form",$1.00
"15 form II females, 12 form I males, 3 form I",$1.00
"15 form II females, 15 form I males, 5 form I",$1.00
"15 form II females, 15 form I males, 6 form I",$1.00
"15 form II females, 16 form I males, 1 form I",$1.00
"15 form II females, 2 form I males, 15 form I",$1.00
"15 form II females, 2 form I males, 2 form II",$1.00
"15 form II females, 2 form I males, 8 form II",$1.00
"15 form II females, 2 form I males, 9 form II",$1.00
"15 form II females, 22 form II males",$1.00
"15 form II females, 4 form I males, 7 form II",$1.00
"15 form II females, 4 form II males",$1.00
"15 form II females, 5 form I males, 11 form I",$1.00
"15 form II females, 5 form I males, 12 form I",$1.00
"15 form II females, 5 form I males, 6 form II",$1.00
"15 form II females, 6 form I males, 21 form I",$1.00
"15 form II females, 7 form II males",$1.00
"15 form II females, 7 juv. males, 7 form I ma",$2.00
"15 form II females, 8 form I males",$1.00
"15 gall",$1.00
"15 jeunes",$1.00
"15 jours",$1.00
"15 juv. females",$4.00
"15 juv. females, 1 form I males",$1.00
"15 juv. females, 1 juv. males, 6 form I males",$1.00
"15 juv. females, 10 form II females, 11 form",$1.00
"15 juv. females, 10 juv. males",$1.00
"15 juv. females, 11 juv. males",$1.00
"15 juv. females, 12 form II females, 12 juv.",$1.00
"15 juv. females, 13 juv. males",$1.00
"15 juv. females, 20 juv. males, 10 juv. undet",$1.00
"15 juv. females, 22 form II females, 11 juv.",$1.00
"15 juv. females, 23 form II females, 30 form",$1.00
"15 juv. females, 4 form II females, 2 form I",$1.00
"15 juv. females, 4 form II males",$1.00
"15 juv. females, 5 form I males",$1.00
"15 juv. females, 5 form II females, 17 juv. m",$1.00
"15 juv. females, 6 juv. males, 1 form I males",$1.00
"15 juv. females, 7 form II females, 1 form I",$1.00
"15 juv. females, 8 juv. males, 1 form I males",$1.00
"15 juv. females, 9 form I males",$1.00
"15 juv. undetermined",$1.00
"15 juvenile",$3.00
"15 JUVENILE, 24 ADULT",$1.00
"15 juveniles",$498.00
"15 juveniles, 1 pupa",$4.00
"15 juveniles, 15 exuvia",$1.00
"15 juveniles, 15 pupae",$1.00
"15 juveniles, 2 pupae",$3.00
"15 juveniles, 3 exuvia",$1.00
"15 juveniles, 31 pupae",$1.00
"15 juveniles, 4 exuvia",$1.00
"15 juveniles, 4 pupae",$1.00
"15 juveniles, 7 pupae",$1.00
"15 larva",$4.00
"15 larvae",$5.00
"15 larvae in tube",$1.00
"15 larves",$1.00
"15 Males, 11 Femailes",$1.00
"15 Males, 23 Females",$1.00
"15 mo.",$1.00
"15 nymph",$6.00
"15 pupae",$37.00
"15 to 20 days",$1.00
"15 unknown",$62.00
"15 years",$4.00
"15 young-of-the-year",$1.00
"15 Yrs",$1.00
"15%",$5.00
"15% incubated",$1.00
"15+",$7.00
"15+Yrs",$1.00
"150 adult",$4.00
"150 adults + 1 larva/pupa",$1.00
"150 adults + 5 larvae",$1.00
"150 exuvia",$1.00
"150 juveniles",$6.00
"150 larva",$1.00
"150 pupae",$2.00
"151",$1.00
"151 adult",$3.00
"151 juveniles",$1.00
"15-17 days after eruption of arms",$1.00
"15-18 days",$3.00
"152 adult",$3.00
"152 juveniles",$1.00
"15-20 days",$1.00
"153 adult",$3.00
"153 days",$2.00
"154 adult",$5.00
"154 adults + 19 larvae",$1.00
"154 form II females, 50 form I males, 75 form",$1.00
"154 juveniles",$1.00
"154 unknown",$3.00
"155 adult",$5.00
"155 adults + 53 larvae",$1.00
"155 juveniles",$1.00
"155 juveniles, 3 pupae",$1.00
"1551 fresh",$1.00
"1553 fresh",$1.00
"1555-56 fresh",$1.00
"1559 fresh",$1.00
"156",$1.00
"156 adult",$1.00
"156 unknown",$1.00
"1562 slight; 1563 fresh",$1.00
"1566 fresh",$1.00
"1569-70 very slight",$1.00
"157 adult",$4.00
"157 adults + 16 larvae",$1.00
"1572 fresh",$1.00
"1576 fresh",$1.00
"1578 advanced; 1579 infertile?",$1.00
"1582 fresh/infertile; 1583 moder",$1.00
"159",$1.00
"159 adult",$3.00
"15F",$3.00
"15M",$2.00
"15M  12F",$1.00
"15M 12F",$1.00
"15M 13F 1J",$1.00
"15M 30F 1J",$1.00
"15M 3F",$1.00
"15M 67F",$1.00
"15m 7f 1j",$1.00
"15M 7F 5J",$1.00
"15M, 27F",$1.00
"15M, 5F",$1.00
"15M, 64F, 1J",$1.00
"15M19F",$1.00
"16",$4.00
"16 adult",$310.00
"16 adults",$7.00
"16 adults + 1 immature",$1.00
"16 adults + 1 larva",$7.00
"16 adults + 14 larvae",$1.00
"16 adults + 15 larvae",$1.00
"16 adults + 17 larvae/pupa",$1.00
"16 adults + 19 larvae",$1.00
"16 adults + 2 immatures",$1.00
"16 adults + 2 larvae",$7.00
"16 adults + 3 larvae",$2.00
"16 adults + 3 larvae/pupa",$1.00
"16 adults + 4 larvae",$4.00
"16 adults + 4 larvae/pupa",$1.00
"16 adults + 43 larvae",$1.00
"16 adults + 46 larvea",$1.00
"16 adults + 5 larvae",$2.00
"16 adults + 5 larvae/pupa",$2.00
"16 adults + 6 larvae",$1.00
"16 adults + 68 larvae",$1.00
"16 adults + 9 larvae",$1.00
"16 day old chicks",$1.00
"16 days",$3.00
"16 days for 3, 1 addled",$1.00
"16 egg",$7.00
"16 exuvia",$4.00
"16 form II females, 1 form I males, 11 form I",$1.00
"16 form II females, 1 form I males, 20 form I",$1.00
"16 form II females, 10 form I males, 2 form I",$1.00
"16 form II females, 10 form I males, 4 form I",$1.00
"16 form II females, 11 form I males, 1 form I",$1.00
"16 form II females, 13 form I males, 7 form I",$1.00
"16 form II females, 14 form I males, 10 form",$1.00
"16 form II females, 15 form I males, 5 form I",$1.00
"16 form II females, 16 form I males",$1.00
"16 form II females, 17 form II males",$1.00
"16 form II females, 19 form I males, 12 form",$1.00
"16 form II females, 19 form II males, 33 juv.",$1.00
"16 form II females, 2 juv. males, 20 form II",$1.00
"16 form II females, 20 form II males, 3 juv.",$1.00
"16 form II females, 23 form I males, 1 form I",$1.00
"16 form II females, 3 form I males, 17 form I",$1.00
"16 form II females, 4 form I males",$1.00
"16 form II females, 42 form II males",$1.00
"16 form II females, 5 form I males, 12 form I",$1.00
"16 form II females, 5 form I males, 16 form I",$1.00
"16 form II females, 6 form I males, 6 form II",$1.00
"16 form II females, 7 form I males",$1.00
"16 form II females, 7 juv. males, 4 form I ma",$1.00
"16 form II females, 8 form I males, 1 form II",$1.00
"16 form II females, 8 form I males, 9 form II",$1.00
"16 form II females, 9 form I males",$1.00
"16 form II females, 9 form I males, 16 form I",$2.00
"16 form II females, 9 form II males",$1.00
"1-6 fresh; 7 small embryo",$1.00
"16 juv",$1.00
"16 juv. females, 22 juv. males",$1.00
"16 juv. females, 6 form I males",$1.00
"16 juv. females, 8 juv. males, 1 form I males",$1.00
"16 juv. females, 8 juv. males, 2 form I males",$1.00
"16 juv. females, 9 juv. males",$1.00
"16 juv. undetermined",$1.00
"16 juvenile",$8.00
"16 juveniles",$295.00
"16 juveniles, 1 pupa",$3.00
"1-6 large embryos, 7-10 no embry",$1.00
"16 larvae",$1.00
"16 Male, 1 Female",$1.00
"16 Mo.",$1.00
"16 nymph",$3.00
"16 pupae",$9.00
"16 to 18 days",$1.00
"16 t��tards",$1.00
"16 unknown",$54.00
"16 years",$3.00
"16 years, 1 month old",$1.00
"16 years, 10 months old",$1.00
"16 yrs",$1.00
"16.75 yrs",$1.00
"16/7/85",$1.00
"160 adult",$2.00
"160 adults",$1.00
"160 adults + 3 larvae",$2.00
"160 days",$2.00
"160 juveniles",$1.00
"161 adult",$3.00
"161 adults + 2 larvae",$1.00
"161 adults + 39 larvae",$1.00
"162 juveniles",$3.00
"16-20 days",$1.00
"163 adult",$1.00
"163 juvenile",$1.00
"164 adult",$2.00
"164 adults + 49 larvae",$1.00
"165 adult",$2.00
"165 adults + 96 larvae",$1.00
"165 unknown",$1.00
"166 adult",$3.00
"166 adults + 23 larvae",$1.00
"166 unknown",$1.00
"167 adult",$1.00
"167 days",$2.00
"167 juveniles",$1.00
"168 adult",$1.00
"168 unknown",$1.00
"16F",$3.00
"16g",$1.00
"16J",$3.00
"16M",$1.00
"16M  16F",$1.00
"16M  20F",$1.00
"16m 10f",$1.00
"16M 11F",$1.00
"16M 11F 1J",$1.00
"16M 25F",$1.00
"16M, 1J",$1.00
"16M, 64F",$1.00
"16y 9m 29d",$1.00
"16Y,1M,17D",$1.00
"17",$4.00
"17 adult",$266.00
"17 ADULT; 50 JUVENILE",$1.00
"17 adults",$7.00
"17 adults + 1 larva",$2.00
"17 adults + 10 larvae",$1.00
"17 adults + 12 larvae",$1.00
"17 adults + 16 larvae",$2.00
"17 adults + 2 larvae",$4.00
"17 adults + 3 larvae",$5.00
"17 adults + 3 larvae/pupa",$1.00
"17 adults + 4 larvae",$2.00
"17 adults + 5 larvae",$3.00
"17 adults + 6 larvae",$2.00
"17 adults + 9 larvae",$1.00
"17 adults sex unknown",$1.00
"17 days",$4.00
"17 egg",$2.00
"17 eggs, 10 left the nest",$1.00
"17 exuvia",$8.00
"17 form II females, 10 form I males, 1 form I",$1.00
"17 form II females, 12 form I males, 3 form I",$1.00
"17 form II females, 13 form I males, 1 form I",$1.00
"17 form II females, 13 form I males, 32 form",$1.00
"17 form II females, 13 form II males",$1.00
"17 form II females, 15 form I males",$1.00
"17 form II females, 15 form II males",$1.00
"17 form II females, 17 form II males, 31 juv.",$1.00
"17 form II females, 19 form I males, 14 form",$1.00
"17 form II females, 2 form I males, 21 form I",$1.00
"17 form II females, 2 form I males, 51 form I",$1.00
"17 form II females, 2 juv. males, 7 form I ma",$1.00
"17 form II females, 26 form II males, 65 juv.",$1.00
"17 form II females, 3 form I males, 23 form I",$1.00
"17 form II females, 31 form II males, 1 juv.",$1.00
"17 form II females, 4 form I males, 11 form I",$1.00
"17 form II females, 6 form I males, 3 form II",$1.00
"17 form II females, 6 form I males, 8 form II",$1.00
"17 form II females, 6 form II males",$1.00
"17 form II females, 7 form I males, 6 form II",$1.00
"17 form II females, 8 form II males",$1.00
"17 form II females, 9 form I males",$1.00
"17 form II females, 9 form I males, 16 form I",$1.00
"17 form II females, 9 form I males, 3 form II",$1.00
"1-7 fresh, 8 small embryo, 9 lar",$1.00
"1-7 fresh; 8-11 large embryos",$1.00
"17 juv. females, 1 form II females",$1.00
"17 juv. females, 1 form II females, 17 juv. m",$1.00
"17 juv. females, 21 form II females, 20 juv.",$1.00
"17 juv. females, 3 form II females, 18 juv. m",$1.00
"17 juv. females, 4 juv. undetermined",$1.00
"17 juv. females, 7 form II females, 14 juv. m",$1.00
"17 juv. females, 7 form II females, 16 juv. m",$1.00
"17 juv. undetermined",$3.00
"17 juvenile",$4.00
"17 juveniles",$210.00
"17 juveniles, 1 pupa",$1.00
"17 juveniles, 10 pupae",$1.00
"17 juveniles, 13 pupae",$1.00
"17 juveniles, 2 pupae",$1.00
"17 juveniles, 3 exuvia",$1.00
"17 juveniles, 3 pupae",$1.00
"17 larva",$1.00
"17 larvae",$3.00
"17 Males, 11 Females",$1.00
"17 months",$1.00
"17 nymph",$5.00
"17 pupae",$8.00
"17 Rotten 1 Very Large Embryo",$1.00
"17 unknown",$29.00
"17 years",$1.00
"17 years, 8 months",$1.00
"17 young-of-the-year",$1.00
"170 adult",$2.00
"170 adults + 1 larva/pupa",$1.00
"171",$1.00
"171 adult",$3.00
"171 adults + 2 larvae",$1.00
"171 juveniles",$1.00
"17-18 days",$1.00
"172 adult",$1.00
"172 adults",$1.00
"173 adult",$3.00
"173 juveniles",$1.00
"173 unknown",$2.00
"174 adults + 57 larvae/pupa",$1.00
"174 unknown",$1.00
"175 adult",$2.00
"175 juveniles",$4.00
"176",$1.00
"176 juveniles",$1.00
"176 unknown",$1.00
"177 juveniles",$1.00
"177 unknown",$1.00
"178 adult",$1.00
"178 adults + 2 larvae/pupa",$1.00
"178 juveniles",$1.00
"179 adult",$1.00
"17F",$2.00
"17K",$1.00
"17M",$3.00
"17M  10F  10J",$1.00
"17M 11F",$1.00
"17M 22F 2J",$1.00
"17M 2F",$1.00
"17M 47F 5J",$1.00
"17M 70F",$1.00
"18",$2.00
"18 adult",$227.00
"18 adult males",$1.00
"18 adults",$3.00
"18 adults + 1 larva",$2.00
"18 adults + 18 larvae",$1.00
"18 adults + 19 larvae",$1.00
"18 adults + 2 larvae",$4.00
"18 adults + 3 larvae",$2.00
"18 adults + 4 larvae",$1.00
"18 adults + 5 larvae",$1.00
"18 adults + 6 larvae",$2.00
"18 adults + 6 larvae/pupa",$1.00
"18 adults + 61 larvae",$1.00
"18 adults + 7 larvae",$1.00
"18 adults + 9 larvae/pupae",$1.00
"18 adults sex unknown",$2.00
"18 d",$1.00
"18 days",$6.00
"18 days old",$2.00
"18 egg",$2.00
"18 Eggs Included In Sample",$1.00
"18 exuvia",$5.00
"18 form I males",$1.00
"18 form II females, 1 form I males, 13 form I",$1.00
"18 form II females, 12 form I males, 2 form I",$1.00
"18 form II females, 13 form II males",$1.00
"18 form II females, 13 form II males, 10 juv.",$1.00
"18 form II females, 16 form I males, 1 form I",$1.00
"18 form II females, 17 form I males, 1 form I",$1.00
"18 form II females, 17 form I males, 10 form",$1.00
"18 form II females, 18 form I males",$1.00
"18 form II females, 18 form II males",$1.00
"18 form II females, 2 form I males, 12 form I",$1.00
"18 form II females, 2 form I males, 4 form II",$1.00
"18 form II females, 2 form I males, 5 form II",$1.00
"18 form II females, 22 form I males, 4 form I",$1.00
"18 form II females, 24 form I males",$1.00
"18 form II females, 3 form I males, 13 form I",$1.00
"18 form II females, 5 form I males, 12 form I",$1.00
"18 form II females, 5 form I males, 24 form I",$1.00
"18 form II females, 7 form I males, 5 form II",$1.00
"18 form II females, 8 form I males, 1 form II",$2.00
"18 form II females, 9 form I males, 3 form II",$1.00
"18 form II females, 9 form I males, 4 form II",$1.00
"18 juv. females",$2.00
"18 juv. females, 1 form I males",$2.00
"18 juv. females, 2 form II females, 28 juv. m",$1.00
"18 juv. females, 25 juv. males",$1.00
"18 juv. undetermined",$1.00
"18 juvenile",$1.00
"18 juveniles",$226.00
"18 juveniles, 1 exuvia",$1.00
"18 juveniles, 1 pupa",$1.00
"18 larva",$1.00
"18 larvae",$2.00
"18 larves",$1.00
"18 months",$17.00
"18 mos",$1.00
"18 nymph",$3.00
"18 pupae",$8.00
"18 to 20 days",$1.00
"18 t��tards",$2.00
"18 unknown",$28.00
"18 years",$1.00
"18 young-of-the-year",$1.00
"180 adults",$2.00
"180 juveniles",$1.00
"181 adults + 22 larvae/pupa",$1.00
"181 juveniles",$1.00
"1811 adult",$1.00
"18-20 days",$2.00
"183 adults",$1.00
"184 days",$2.00
"184 juveniles",$1.00
"1845 and 1848 advanced; 1846 no",$2.00
"185 adult",$3.00
"185 juveniles",$1.00
"186 adult",$2.00
"186 juveniles",$1.00
"1861-63 slight",$1.00
"1866-67 fresh; 1864 cracked in n",$1.00
"187 adult",$1.00
"187 juvenile",$1.00
"187 juveniles",$1.00
"1870 slight",$1.00
"1875-77 fresh",$1.00
"1880-81 fresh",$1.00
"1884-85 slight",$1.00
"1887-89 moderate",$1.00
"189 adult",$1.00
"1892 advanced",$1.00
"1897-98 fresh",$1.00
"18F",$3.00
"18F 6M",$1.00
"18M",$3.00
"18M  58F",$1.00
"18M 29F",$1.00
"18m 5f 4j",$1.00
"18m 8f",$1.00
"18M 90F",$1.00
"18M, 9F",$1.00
"19",$4.00
"19 + years",$1.00
"19 adult",$260.00
"19 ADULT; 24 JUVENILE",$1.00
"19 adults",$10.00
"19 adults + 1 larva",$2.00
"19 adults + 10 larvae",$1.00
"19 adults + 11 larvae",$1.00
"19 adults + 14 larvae",$1.00
"19 adults + 18 larvae/pupa",$1.00
"19 adults + 2 larvae",$3.00
"19 adults + 23 larvae",$1.00
"19 adults + 24 larvae",$1.00
"19 adults + 3 larvae",$2.00
"19 adults + 4 larvae",$1.00
"19 adults + 5 larvae",$1.00
"19 adults + 54 larvae",$1.00
"19 adults + 56 larvae",$1.00
"19 adults + 8 larvae",$1.00
"19 broken, 11 hatched, 3 develop",$1.00
"19 days",$1.00
"19 egg",$1.00
"19 exuvia",$2.00
"19 form II females, 1 form I males, 12 form I",$1.00
"19 form II females, 1 form I males, 17 form I",$1.00
"19 form II females, 11 form II males, 13 juv.",$1.00
"19 form II females, 11 form II males, 8 juv.",$1.00
"19 form II females, 12 form I males, 8 form I",$1.00
