establishmentMeans	reps
collected between 1030-2150 hrs	1
found alive in rain gutter	1
found dead on causeway	2
found dead on front of train originating at Vancouver, B.C.	2
struck by motor car at 0300 hrs on Jones Ave	1
Stockholm, Djurgårdsbrunn	3
bought from friend of Elgie	1
bought in London, 1890	1
captive, died in captivity, received from Florida May 1938	1
cultivated from wild source	30
found dead on land	4
killed by two Stercorarius parasiticus	2
possum trap	2
spring banding casualty	2
FALSE	3355
captive, cage bird prob from Guyana	1
collected 1930-2030 hrs	3
found dead in building	2
found injured	212
starvation	2
captive for ca 35 days	1
captive for ca 6.5 yrs	2
captive, received 1973 August 22	2
car kill	76
caught alive by boys, emaciated	1
caught in trap set on hen that was previously killed by a hawk	1
collected 0530-0700 hrs	1
collected after 1430 hrs	9
collected at 1600 hrs	1
collected in early pm	1
found alive after storm	2
found dead on ocean beach during storm	2
found injured, found on 24 July, died 26 July 2006	1
found rotten, caught in fence	2
not introduced	417
window kill, after killing Starling	2
Migratorio	21
captive, ca 2.5 yrs	2
captive, died 1972 Aug 16	1
captive, died May 05-06 enroute to Kingsville, Ont	1
captive, in aviary	1
drowned in fish net	8
found alive floating in water	2
found at entrance to burrow, Weasel?	1
found dead below nest	2
found dead in junk pile	1
found dead, under wood pile	1
found injured by an Long-eared Owl	1
hitch hiker	151
lighthouse kill-WES catalogue	6
taken from square tree hole, captive for ca 3 days	4
1 of 37 which came down in sleet storm	2
Herbarium of Laura Högman-Wecksell	1
Sown originally?	142
captive bred on Quail Breeding Farm, Mono-Amaranth Twp, Dufferin Co, Ontario	2
captive bred, Pennsylvania State Game Farm	2
captive, put down due to renal failure	2
caught by hand roosting den in tree, at night	1
collected at 1215 hrs	1
collected ca 0615 hrs	1
drowned in nets, one of 15000 drowned	2
found dead after aircraft sprayed village with fuel oil and DDT (dichloro-diphenyl-trichloroethane)	1
found dead on pond	1
found dead, under colony	2
found in orchard on ground	1
from hatchery	2
insect poisoning	2
killed by lightning	2
presumed shot by shot found in neck	2
released bait: dispersed	36
shipping ballast water	2860
starved in Apple Tree	2
Kalmar Stadspark	1
caught alive, kept alive 2 days, in one day ate 55 grasshoppers	1
collected at 1135 hrs	2
collected at 1306 hrs	1
collected at 1900 hrs	2
collected in the late am and pm	1
found dead across road from nest in White Pine	1
found dead on ground below nest	2
found dead, minus 42 degrees F	1
found impaled and stuck on Burdock bush with male	1
found in eavestrough, alive	1
taken from nest, nest also collected	29
Cultivo en cautiverio	6
Garden weed	1063
captive for ca 2 days	2
captive from wild	10
captive from wild, for ca 11 days	3
captive, 3 months	2
caught alive, caught in Alaska and brought to Wasaga Zoo for experimental purposes	1
collected 1830 hrs	1
collected at 1800 hrs, +/- 30	1
found dead in buildings	5
found dead on roadside	2
found dead, under high tension hydro wires	1
found injured by road	1
found wounded on beach	2
originally injured by train, captive since 1985 March	2
pesticide poisoning	1
taken with nest and 4 eggs	5
wire kill, electrocuted	1
Introduced	1214
Residente	1996
beach kill, prob caught in gill nets	2
bought from dealer in Montreal	1
captured alive	5
caught alive	50
collected at 1355 hrs	1
collected at 1515 hrs	5
dead on road	1
excavated Sept 1946 at Cahiague Indian Village site of 1615	1
excavated from prehistoric 1500 AD Iroquois Village	1
found dead in breeding colony	2
found dead, hanging by feet which were tangled by thread	1
oil slicked	2
oiled	4
taken on cliff rock	2
taken with nest	1
bought in London, 1898	1
captive, 7 days	1
captive, killed by mate, captive bred	1
collected before 1000 hrs	3
collected between 1630-18-30 hrs	1
drowned?	2
found alive and severely injured on truck after arrival in Thunder Bay	2
found dead in city far from water	2
found dead in water	7
found shot in wing	2
nonnative	37
shot inland	2
window kill?, found dead at residence of collector	1
banding casualty	65
beach kill, 1 of 25 small waders found shot	2
cannon netted	8
captive for a few hrs	6
captive, died in Dr Hurlburt's aviary picked up Oct 10	1
caught in mouse trap	180
collected 1400-1600 hrs	2
collected at 0640 hrs	1
collected at 0800 hrs	1
fell in Rideau Canal	1
found dead in woods	2
found drowned	1
found heavily oiled	2
found ill, captive for 2 days	1
from a game farm	2
trapped on Turkey farm	2
badly oiled, died next day	2
captive for 20 days	1
captive for ca 8 days	3
caught in rabbit snare	8
collected at 1815 hrs	1
collected between 1930-1830 hrs	1
found dead 50 yds from water after stormy night	2
found dead in parking lot after a storm	38
found dead, emaciated, impaled on Cholla cactus	2
found dead, killed by barbed wire?	2
found in farm yard Elgin Mills, Ont, domesticated	1
raised in captivity, found dead	2
window kill	936
wounded and captured, captive for ca 7 months 14 days	1
captive for 12 days	1
caught in mammal trap	3
drowned in net	46
escaped captivity aquaculture: dispersed	345
escaped captivity aquaculture: shipping ballast	23
excavated Sept 1946 at Cahiague Indian Village Site - 1615	1
found alive on golf course	2
found alive, later died from pesticide poisoning, from spray area	1
found dead below falls	4
from nest of 4	2
killed on gaff hook	2
taken from Larus glaucescens	2
Herbarium J. P. Norrlin (1842-1917)	4
Wild	2188968
captive for 2 days	8
captive from 1923-1944	2
captive, ca 1 yr	4
captive, died Oct 1975	1
captive, from wild, captured 1962, held at Busch Gardens, Tampa	1
captive, hatched May 31 1936, of captive parents, pure bred	1
collected at 0940 hrs	3
found dead on ice	8
nest tree cut down	2
shot of large dead Basswood	2
taken from a nest in stub of tree	1
alive when found, full of shot	2
bought in Leadenhall Market, London, 17 December 1885	1
captive, ca 2 months	4
captive, hatched	2
collected 0832 hrs	1
dispersed	52
excavated at Fort Albany, date of English occupation 1679-1721	43
excavated from swamp	2
found alive 24 Jan 1992	2
found dead on road	10
found shot beside newly seeded irrigated rice field	2
introduced	39766
shot near shore	6
Introducido	170
beach kill, oiled	4
caught in trap, captive for 6 days	2
caught on barbed wire	2
collected 0900-1300 hrs	1
collected 1330-1500 hrs	1
collected after 4:00 pm	1
collected live from egg on July 8 1967	1
found dead as a beach kill	1
found dead on wire	2
found dead with a number of others after heavy snow	1
found dead, dessicated, emaciated	2
found dead, floating on water	2
found unable to fly, euthanized	2
probably shot with small calibre rifle, blood clots on rib cage under both humeri	1
taken from nest in bird box	2
taken from nest under rafter of building	2
tower kill?	2
Silvestre	25470
bought in London, England, 1890	1
captive at Forestry Nursery, Midhurst, Ontario	2
captive from birth	8
captive, died in captivity, received at Regent's Park, Jun 24 1912	1
casual	3
caught in nets	4
collected at 1010 hrs	3
found alive, captive for 1 day	2
found dead in shed	1
killed by stone wall	2
picked up	1
trapped in Opossum trap?	2
Culture escapee (forvildet)	18170
Naturalizada	1
bought in Jamestown	1
cannon net casualty	12
captive for 26 days	1
captive for 8 days	2
captive since 1984	2
captive, Midhurst, Ontario	2
captive, Riverdale Zoo, caught in net	2
caught alive and captive for ca 6 days	2
collected 1100 hrs	1
died in group epidemic	1
found dead at sea, probably drowned in net	2
found dead in fish net	4
found dead with broken wing	3
found dead, shot	27
found ill and weak	2
hatched 3 June - died 4 June, egg found 9 May	1
hitch hiker with stocked fish	43
killed by male House Sparrow (Passer domesticus)	1
stocked for food: escaped captivity aquaculture	3
wild	1498195
DOR=dead on road	1
banding casualty, found ill afterwards	2
captive since 1985	2
captive, killed by mate	2
euthanized, captive	2
found dead in feeder, had ingested a Blue Jay	2
found dead on lakeshore	4
found dead on top of building	2
hatched in incubator	3
killed by Mink	2
poisoned by Fox bait	1
shot by duck hunters	4
smothered in chimney	2
taken from nest hole in dead oak, collected at 1400 hrs	1
captive, had about 6 yrs	1
collected at 0935 hrs	2
collected between 1100-1400 hrs	2
died in nest after 40 minutes of heavy rain, with female RCL 2339	1
escaped captivity aquaculture	3692
feathers caked with ice prevented it from flying	1
field photo	85
found dead, minus head	2
found dead, mummified found dead Jun 21 1975 on beach by dump	1
found dead, under power lines	1
ill, caught in noose	2
picked up beneath 300 nests at elevator (Saunders, W E catalogue)	1
captive, ca 8 days	2
caught alive, 1936 December 24	2
collected at 0855 hrs	3
collected at 1230 hrs	1
collected ca 0630 hrs	1
found alive by children, kept captive	2
found dead on tennis court	2
found dead, caught in fence by leg	1
found weakened, died in rehabilitation centre	2
from pipped egg	2
impaled on barbed wire fence	2
silvestre	518
taken from nest, captive for ca 8 months	1
window kill?	6
Culture relict?	307
bought in a Philadelphia, Pennsylvania market	1
bought in flesh locally	1
building kill	274
captive, killed by Eland Antelope	2
collected 0945 hrs	1
collected 1100-1400 hrs	3
collected at 1150 hrs	1
collected over water 24 fathoms	1
found alive, dead shorlty after	2
found dead November 19 (victim of N Shrike)	1
found dead in barn	5
found dead in snow bank	1
found dead, broken neck	2
found disabled	2
found ill, euthanized	2
found injured by road, died during surgery	2
snared on nest	4
taken from a nest on barn	2
taken from nest tunnel in sandbank	12
tower kill?, found dead	12
Adventiv	448
Bird hit by airplane	1
bought in Dunedin	1
bought in Leadenhall Market, London, England by E S Elliot, 1 January 1891	1
captive for 9-16 days	2
captive since birth	6
caught alive in stove	1
caught at nest	1
collected at 1005 hrs	2
escaped captivity fur farm	2
found floundering on its back	2
found injured, captive	1
lighthouse kill?	1
tower kill, London Life building	2
captive, 32 days	2
captive, bred in aviary	2
captive, had in aviary 3 days	1
collected about 0700 hrs	1
collected at 1530 hrs	1
found alive 15 Jan 2000	2
found alive 1967 September 16	2
found dead after sleet storm	1
found dead, one of 26 found under a Martin House at the end of eight days of cold wet weather	1
found dead, one of twenty-six found under a Martin House at the end of eight days of cold wet weather	3
found frozen in ice	2
found in burial	2
killed by Peregrine Falcon	3
mist netted near banana plantation	2
nest also collected	21
snared illegally	2
stocked for sport	50771
TV tower kill	1039
bought in bird market in Paris	2
captive, in captivity since 2 Aug 1968	1
captive, in captivity since Apr 1968	1
collected after 1600 hrs	6
collected at 1450 hrs	2
dead in nest	6
dog kill or shot	2
found dead impaled on burdock	1
found dead in chain link fence	1
found dead in window of deserted camp	2
found dead partly decomposed, killed by Hurricane Fran	2
killed by adult male	2
nest tree fell	2
netted over forest road at Centro Cientifico Rio Palenque	1
Finland, Nylandia, Helsinki, Viikki	1
captive, caught as wild adult, 1959	2
caught in gill net in 12 fathoms	4
collected 1700 hrs	1
collected at night	1
found dead in lake	1
found dead on snow back in hills	2
hydro line kill	2
one of 3 killed in nest	1
planted	331
taken from square tree hole, captive for ca 4 days	2
Ex herb. Otto Collin	3
came on board ship	1
captive for ca 8 days, taken when 1 day old	2
captive, 2 days	2
captive, in aviary ca two yrs	1
captive, raised at Vineland, Ont	1
captive, reared from hatching	4
collected at 1225 hrs	1
collected at 1830 hrs	25
died in hand after removal from line trap	2
found crippled	1
found dead on snow, battered	1
killed by Grackle	1
laid egg 1594, 2 June 1970, died 0630 hrs	1
seized by OMNR for Court Case	1
taken from nest hole in dead oak	1
taken from pipped egg in abondoned nest	2
bought 25 Dec 1894	1
caught alive, captive 4 days	2
collected at 1750 hrs	1
difficulty flying	1
found dead, 1 of 26 found dead under a Martin house at the end of 8 days of cold wet weather	25
found dead, floating in pond	2
from nest	6
migration casualty	16
newly hatched	2
stocked for food	28018
taken from nest, taken from nest 1933 May 24, when ca 12 days old	1
Herb. J. P. Norrlin	1
Herb. Matti Laurila,x HPP 1974	223
Naturalized	1494
canal	236
captive for ca 3 days	3
captive for ca 74 days	1
captive, ca 1 month	6
caught in fox trap	2
choked on small seed	1
found dead by Gould, A	2
found dead on Teck Hughes property	1
found dead, trapped in kitchen	1
killed with a rock	2
probably a release from farm	2
taken with nest and 5 eggs	1
Invasor	14
Selfsown?	1985
bought in feather-dealer's in Mexico City	2
captive, died in transit to captivity	5
captive, short duration	2
caught alive, crippled	2
collected over water 46 fathoms	1
found alive, died shortly afterward	2
found dead at Englehart, Ont	1
found dead, eaten by ants	2
hitch hiker on plants	9
hung in mesh of trap	2
taken from nest, captive 60 days	2
bought in sidewalk sale, June, 1904	1
captive, Zoo born at Miller World Zoo	2
captive, kept alive by collector during summer, sent in autumn to Toronto 300, where it died early in December, 1930	1
chick from egg collected in wild and hatched in incubator	3
collected at 0730 hrs	2
collected at 1445 hrs	1
found alive, died	4
found among duck feathers	2
found dead in nest	53
found dead on ice, starved	2
found dead, wire kill	3
found on its back alive	1
one of 3 in nest	1
suffocated in banding trap	6
trapped in Beaver trap	2
Naturalizado	36
captive for 3 yrs	1
captive, 4 days, taken from nest in chimney	2
caught in gill nets, 100 ft below surface	2
collected at 0650 hrs	1
collected at 0810 hrs	1
collected ca 1140 hrs	1
died of enteritis	1
found dead near school	1
found dead on lake	2
found emaciated and weakened	2
killed by Northern Shrike	3
poisoned used to capture bird at edge if ice by the Bay	2
alien	5
captive for ca 9 days	4
captive, cat kill while captive	2
captive, died in Mr Grant's aviary, Evington, England	1
found dead 30 September 1996 and then buried 1 October 1996, dug up December 1996	1
found dead, decomposed, killed by Hurricane Fran, September 1996	6
found injured, captive for 15 days	2
swept over falls, died in captivity	2
unknown: released bait	357
7326194	1
TRUE	27645
bird seen alive 1987 Dec 01-26	1
bought in Ottawa Market, Ottawa	1
captive bred, died from overeating?	2
captive, found Feb 12	1
caught alive, June 25	2
caught in wolf trap	2
collected 1030-1215 hrs	2
collected at 1745 hrs	1
found alive, unable to fly	1
found dead on river ice	2
found on side of road, road kill?	1
raised in captivity, owl kill	4
removed from train	1
taken from a nest in a hole in a bank	1
waste	7319
wire kill?, found under hydro line	2
bought in San Francisco, CA, in 1903 - no date - JHF	1
captive for 3 days	6
captive, raised in hatchery	2
caught by hand in a cave	2
caught in rat trap	4
collected at 0950 hrs	6
found dead as a beach kill February 1985	2
found dead in snow drift	1
hitch hiker fishing, boating: shipping ballast water	1
mist netted over Lodo Creek in forest at Centro Cientifico Rio Palenque	3
taken from nest in 1934	1
5 young and adults taken	1
Herbarium A. L. Backman,X HSI 2001	1
captive for 25 yrs	2
captive for short time	2
captive, wild caught by CWS	1
excavated from pre-Columbian Iroquois middens, 5 elements removed 4 June 1969 for L L Hargrave, Prescott College, Prescott, Arizona by J C Barlow, 1957 excavation	1
found dead on track	2
found dying, emaciated	2
hybridized	258
picked up on road	2
released for food	2
Cultivated. Origin not known.	36
captive, hatched on 23 from eggs taken on 22	2
caught in banding net	1
collected at 1100 hrs	8
collected live on July 8 1967 when 1 day old, died in captivity	1
found dead and forwarded to Dept Game and Fisheries, Toronto, where it remained in cold storage until 14 Nov when we received it in flesh	1
found dead on nest	7
found dead on side of road	4
found injured, died same day	1
found under nest destroyed by storm	4
killed in hailstorm	2
shot as an airplane hazard	6
wire kill	49
1 of 501 killed at lighthouse	4
captive, bred in California ca 1939	1
collected at 1020 hrs	2
found dead, entangled in cord and mud	1
found injured, had been shot	2
found near nest with broken wing, nest also collected	1
killed by axe	2
landed on ship at night	3
raised in a hatchery	2
beak caught ver plk (vertical plank ?)	2
bought in 1952 at auction Port Dover, Ontario from Edw. Forest	1
captive for ca 1.5 yrs	1
captive, died in captivity in Sikkim	1
captive, hatched in aviary in Aug 1929	1
captive; died in captivity, London, Ontario	1
collected 1110 hrs	1
found dying, shot	6
found injured on 1963 November	2
poisoned at Central Experimental Farm, (Ottawa?)	30
released bait: unknown	85
shot at a barn	2
stocked for biocontrol	418
Exótico	7
Procedente de planta silvestre en cultivo	58
bought by E S Elliot in Leadenhall Market, London, England, 14 January 1889	1
bought in Chicago market? about 1892	1
captive for ca 3 yrs	1
captive, ca 1 year	2
captive, kept in captivity for some time after its capture on May 18, 1927	1
captured 1926 Feb 26, captured for banding, died in captivity after ca 10 yrs	1
collected 1030 hrs	1
found dead, partly eaten by rats	2
found washed ashore	2
in mouse-trap set for mice in the bog to the E of our place	1
starved, seen daily by many individuals from 16-30 December 2012, then found dead 2 January 2013 by Brendan Boyd	1
Espontánea	66
bought from New Zealand, 1871	1
captive, caught as immature 1937 July 7	1
caught in a barn	1
collected at 0945 hrs	16
dispersed: shipping ballast water	2
found dead, head injury	1
found injured, died in captivity	2
found mummified	29
killed by Northern Harrier	1
killed by catapault	2
malnutrition complications	2
released aquarium: released food fish	1
road kill?	11
? Introduced	163
captive	15773
captive at Experimental Farm for 3 year or more	1
captive less than 1 year	2
captive, raised in captivity from egg of wild bird, at Univ of Illinois, Urbana, Illinois	1
caught at hole in bank	1
collected at 1400 hrs	42
found dead on snow on beach December 21, when skinned on December 28 it was fat and in good condition with full stomach and showing no signs of injury, died about December 10 (JLB)	1
found freshly killed	2
found injured, intestines ruptured	1
found under poplars on lawn	1
killed fighting with another	2
one of 15 smothered in trap	2
plantet	7
taken at nest hole	6
bought from Wm Cross, Toronto, said to have been brought from Jamaica	1
caught in gill nets	2
found dead, dessicated	2
found dead, oiled	16
killed at smokestack	1
released food fish: stocked illegally	1
seized at customs	16
taken with nest containing 2 Cowbird eggs	1
victim of Northern Shrike	2
waste?	7
