v_earliestAgeOrLowestStage,reps
Aptian-Albian,61
Porterfieldian,2109
Whiterockian,2877
BARSTOVIAN,4413
Clarkforkian,5693
MP 18,62
Wemmelian,62
Boomerangian,62
Gothlandian,63
MP 24,63
Campanian - Exiteloceras jenneyi Zone,319
Gardnerbuttean,319
Oxynotum,319
Lower Mississippian,319
MP 11,319
WISCONSINAN; RANCHOLABREAN,319
L. Ashgillian (Kralodvorian),575
Ludlovian,1343
Capitanian,16959
Maysville,64
late Middle-early Late,64
"Cretaceous, early Aptian",64
Paspotansan,64
Ensenadan,64
EARLY CLARKFORKIAN (CF1),65
early Silurian (late Llandoverian),65
Middle Chadronian,65
Pliensbachien,1345
middle,1857
Emsian?,66
Lower Devonian,66
Lower Cretaceous (Barremian),66
Daleje,66
WOLFCAMPIAN OR LEONARDIAN,322
"{ ""geologicAge"" : ""Quaternary (post-glacial)""}",322
Trémadocien,322
Triassic,322
Pridolian,322
Berriasien,834
Early Aalenian,1602
MP 25,67
Wonokan,67
Scythien,67
Gashatan,67
early Campanian,323
Late Jurassic,2627
Muschelkalk,68
Early Neogene,68
Sunwaptan,580
Taijangian,836
Piso 5,1348
Tapinocephalus zone,69
Manykaian,69
Plaisancien,69
Upper Pliocene,69
LATE WASATCHIAN; LOSTCABINIAN,69
Ulatsian,69
Campanian - Baculites gregoryensis Zone,69
Coniacian-Campanian,325
MP 30,1093
Middle Jurassic,2629
Urzhumian,70
Bumbanian,70
Middle?,70
upper Aptian-early Albian?,70
Lampasas (= Desmoinesian),70
MAASTRICHTIAN,70
Campanian - Baculites cuneatus zone,70
MP 26,70
Aquilan,838
Middle Pennsylvanian,22598
Motuan,71
WASATCHIAN; LATE GRAYBULLIAN-LYSITEAN,71
Kaihikuan,71
Paadla,71
early Late,839
Late Valanginian,2375
Delamaran,2375
Late Devonian (Frasnian-Famennian),72
Aratauran,72
late Campanian,584
Middle Cambrian,1352
Oligocene,3144
Late Artinskian,73
Early Mississippian (Osagean),73
Bruxelian,73
Pléistocène moyen,73
Itaboraian,73
Sauzei,73
early Middle,74
NOT APPLICABLE,74
Teurian,74
STEINHEIMIAN; MIDLANDIAN GLACIAL,74
HEMPHILLIAN,74
Gedinne,74
Maastrichtian?,330
Laventan,330
Huayquerian,330
Early Uintan,842
Aeronian,3914
Morrowan,9034
Early to Middle,75
L. Emsian,75
Marmorian,331
Concavum,331
LATEST WHITNEYAN OR EARLIEST ARIKAREEAN,1099
Griesbachian,5451
Santonian,18251
Hombergian,76
Jaagarahu,76
Vyatkian,76
"Oligocene, Middle",76
Kasimovian,1612
Sandbian,2636
"{ ""geologicAge"" : ""Tertiary, Oligocene (Little Butte Volcanic Series)""}",77
Temaikan,77
MP 19,77
TIFFANIAN 4,333
Chatfieldian,1101
Tremadocian,1869
middle Albian,78
Anisien,78
Rusavkian,78
Repettian,78
Migneintian,78
4–Wuliuan boundary,334
Lochkovien,590
Early Frasnian,1102
Spathien - Anisien,79
Bolindian,79
Lancefieldian,79
Nemakit-Daldynian,847
Early Turonian,2639
Turonian,33103
PLIOCENE,80
Cryogenian,80
Anisiano,80
"{ ""geologicAge"" : ""Cretaceous""}",80
Gamachian,336
Late Mississippian (Chesterian),336
Early Pennsylvanian,2640
Praghian,81
Upper Ludlow,81
Stephanian B,81
Latest Tremadocian,337
Senonian,1105
Late Cenomanian,4945
Dorashamian,82
MN 5,1106
Paleogene,339
Longvillian,595
Early Cambrian,595
Comanchean,3411
Maastrichien-Danien,84
LOWER ORELLAN,84
Late Carnian,84
early-middle,84
Upper Emsian (Dalejan),596
Rocklandian,1620
Caradocian,6484
Wolfcampian,11604
RECENT,85
VINDOBONIAN,85
Buntsandstein,597
Bartonian,24917
Algonkian,86
Warepan,86
Scaldisian,342
Zancléen,342
Carboniferous,2902
Kinderhookian,3926
Aquitanian,5718
Castlemainian,87
Gedinnine,87
EARLY WESTPHALIAN D,343
BRIDGERIAN,599
Mississippian,1623
Late Maastrichtian,14679
upper Albian,88
Bashkirien,88
Turoniano,88
Chesterian,7512
Pliocene,11864
Ti1,89
Heterian,89
WESTPHALIAN LOWER D,89
"Tiffanian, Late Paleocene",89
Headonian?,89
WASATCHIAN; EARLY LYSITEAN,89
Juuru,345
TITHONIAN,857
Onondagan,1625
Hauterivian,4697
Casamayorense,90
Upper Mississippian: Chesterian,90
MOHAWKIAN,346
Arikareean,2906
Pleistocene,13914
Letna,91
TUROLIAN,91
Portlandian,91
Late Mississippian (Meramecian-Valmeyeran),92
LATE KANSAN; IRVINGTONIAN II,604
Visean / Osagean,1116
Wishkahanian,93
MP 29,93
Harju,94
Longtanian,94
late Albian to early Cenomanian,94
Janjukian,94
Whitneyan NALMA,94
Arikareean Upper,350
Oretanian,350
Kinderscoutian,350
Rhaetian,13406
Paibian,607
Astian,863
Albian ?,96
Clintonian,96
Langhien-Serravallien,352
Trempealeauan,1120
Arnsbergian,1120
Néocomien,1376
Middle Campanian,3168
Changhsingian,17248
Whiteavesi,97
Albien,3169
Neoproterozoic/Proterozoic,98
MP 10,98
Lower Spathian,98
Berounian,354
Middle Lias,610
Hemmoorian,866
Calabrian,9570
Campanian/Maastrichtian,99
Helderbergian,4963
middle Miocene,100
Ti3,100
Late Osagean,100
Upper Jurassic,100
Murgabian,100
early Cenomanian,356
Levesquei,612
"{ ""geologicAge"" : ""Pennsylvanian""}",101
MN 1,101
"{ ""geologicAge"" : ""Tertiary, Eocene""}",101
Westphalian D,1381
Ludlow,4965
Albian - Cenomanian,6501
Gelasian,8805
Carnian,15205
Agenian,102
Franklinian,102
"Visean, Tournaisian",102
Viséen,614
Fortunien - Etage 2,103
Montehermosense,103
Givetian Age,103
Rotliegendes,359
Jacksonian,615
Eastonian,871
Badenian,2663
Shermanian,3175
Leonardian,12903
EARLY,104
Floran,104
Lower Pennsylvanian,104
Podolskian,104
Zechstein,360
Early Cretaceous,872
Sinémurien,1128
Campanian,43624
Campanian - Didymoceras nebrascense Zone,105
Lower Permian,105
"{ ""geologicAge"" : ""Permian (Kungurian)""}",105
Cressagian,105
Upper Oliocene,105
Hastarian,361
Middle Givetian,361
Late Triassic,1641
Kosovian,106
cf. Santonian,106
Late Ordovician (Cincinnatian),106
Fennian,106
MN 4,874
Llandoverian,874
Campanien,1642
Julian,4970
Early Toarcian,4970
Niagaran?,107
Artinskian,11371
Upper Albian,108
Early Devonian (Pragian),108
early Turonian,108
LATE UNINTAN OR EARLY DUCHESNEAN,108
Maentwrogian,108
"{ ""geologicAge"" : ""Tertiary, Miocene (Beaufort Formation)""}",108
Amgan,364
Llanvirn,1132
Asselian,7532
Late Hemingfordian,109
Givetien?,109
Humphresianum,109
Westphalian C,365
Lenian,621
Mohnian,621
Porkuni,621
Bajocien,3693
Gzhelian,3949
Late Pleistocene,53869
Coblencian,110
"{ ""geologicAge"" : ""Tertiary, Eocene, Miocene (Eureka Sound Group; Beaufort Formation; Buchanan Formation)""}",1134
middle Carnian,3182
Judithian,5230
Sheinwoodian,5230
Ladinian,5998
Upper Carnian,111
middle Cenomanian,111
Kukruse,367
Tithonien,879
RANCHOLABREAN,1135
Chazy,1903
Bajocien - Bathonien,112
late Cenomanian,112
Badenian/Burdigalian,368
Tortonian,18032
Moridunian,113
Huayqueriense,113
MN 12,113
Friasian,113
Mississippian (upper Tournaisian),369
Barrémien-Aptien,369
MIOCENE,625
"{ ""geologicAge"" : ""Tertiary, Eocene (Kamloops Group; McAbee Beds (informal))""}",881
Devonian (late Emsian),1393
Induan (Griesbachian),114
Marsdenian,114
Induan (Dienerian),114
Alportian,114
Stephanian C,370
Sakmarian,9330
Cazenovian,115
Olenekian (Smithian),115
Coniacian-Santonian,115
Couvinian,115
MISSOURIAN,115
late Late Arikareean,115
Haumurian,115
Middle Osagean,883
Pennsylvanian,1139
Maysvillian,4979
"""Hauterivian""",628
Actuel,628
Malm,628
Villanyian,884
Upper Eocene,1140
Late Cretaceous,1396
Tyesaian,117
Sandbien,373
Early Berriasian,1397
Late Callovian,2165
Wenlock,12917
IRVINGTONIAN; RANCHOLABREAN,118
OLIGOCENE,118
Richmond,374
Middle Albian,1398
Early Ordovician,119
Bortonian,119
Barremian?,119
RUSCINIAN; VILLAFRANCHIAN,119
middle Middle Smithian,119
UPPER WOLFCAMPIAN,375
"{ ""geologicAge"" : ""Pliocene""}",120
Mindyallan,120
Upper Miocene,888
Late Emsian,2680
Hettangian,14968
Upper Darwillian (Dobrotivian),121
Tournaisien,121
Harnagian,121
Givet,121
Late Ordovician (Richmondian),377
MN 9,377
Katien,377
Cretaceous,889
Clarendonian,5497
Adavere,122
Waitakian,122
Billingen,122
Coniacian - Santonian,378
Meishucunian,890
"CLARKFORKIAN, CF2",1914
Early Aptian,2426
"Tournaisian, Visean",123
Merioneth,379
Canadian,1659
Jamesoni,1915
WASATCHIAN; LYSITEAN,3195
Campanian - Didymoceras cheyennense Zone,124
Roadian,15996
Kasimovien,125
Latorfian,125
Upper Oligocene,893
Altonian,1149
Late-Pleistocene,126
Cénomanien,9854
WHITNEYAN,127
Blancan equivalent,383
Semicostatum,128
Arikareean NALMA,384
Carnian-Norian,384
Pendleian,1920
Frasnian,10880
Stage 10,129
Cernaysian,129
Zemorrian,385
Middle Ordovician,1153
Late Pliensbachian,3457
Florian-Undillan,386
Tarantian,386
Kunae,131
Late Ordovician (Maysvillian),131
age unk.,5251
Orellan,8323
Urutawan,132
Maastrichtien,900
Late Kimmeridgian,3204
Bathonian - Callovian?,133
Sparnacian,133
Saucesian,389
Corallian,134
Lysitean,134
Wenlock / Ludlow,134
Campaniano,134
Dobrotiva,134
Puaroan,135
Endothiodon zone,135
Cheneyan,135
WOLFCAMPIAN,903
Kaiatan,136
TIFFANIAN 3,136
Cistecephalus zone,136
TIFFANIAN 2,648
Arundian,904
Falciferum,1416
ASTIAN; VILLAFRANCHIAN,137
Mohawkian,6025
Early Pleistocene,14985
Duntroonian,139
lower,139
Erian,139
Llandeilo,651
Piripauan,651
Cuisian,1419
WESTPHALIAN D; MOSCOVIAN,1675
Pillarian,140
Middle Chesterian,396
Early Sinemurian,1420
Asbian,1932
Ypresian,39052
Headonian,141
OIS 5,141
Orleanian,141
Cautleyan,397
Ivorian,397
Gasconadian,397
Campanien-Maastrichtien,909
Dapingian,909
Yapeenian,142
Croixian,142
Ningkuo,142
Middle Triassic,398
Castlecliffian,654
Blackriveran,3214
Smithian,4494
MP 21,143
Gedinnian,399
Frasnien,400
Ozarkian,656
Variabilis,656
Late Campanian,12432
Wuchiapingian,21392
Egerian,145
IRVINGTONIAN III,2449
Chadronian,12177
Payntonian,146
Dolgellian,146
Chadronian NALMA,914
Danien,1170
Guzhangian,2450
PENNSYLVANIAN,147
Callovien-Oxfordien,147
lower Middle Pennsylvanian,659
Lower/Early,5267
Marshbrookian,148
MN 11,149
MP 7,149
Tulean,405
Early Devonian,1429
UpperPleistocene,5013
Coniacian,10134
Oriskanian,151
late Lutetian to early Bartonian,151
Barrémien,664
Lias,920
Middle Cenomanian,2200
Late,2712
Colhuehuapian,153
Hettangien,409
Floien,1177
early to middle,154
Ulsterian,154
Otamitan,154
MP 23,154
Otapirian,410
Middle Tiffanian,922
Late Pennsylvanian,2714
Homerian,4250
Middle,19611
Raikkula,156
VIRGILIAN,156
Marjuman,156
Kasimovian / Missourian,157
Fassanian,669
Budnanian,158
Qiongzhusian,158
Costonian,670
Cenomanian/Turonian,670
Thanetian,5790
Late Albian,6814
Upper Pleistocene,159
Rancholabrean-Holocene,160
Lower Oligocene,160
MP 13,416
Oandu,416
Late Barstovian,417
late Campanian-Maastrichtian,162
Seldovian,162
Middle Toarcian,1442
Guadalupian,1954
Late Turonian,2210
Norian,18082
Clinton,163
KIMMERIDGIAN,163
MN 6,675
Bifrons,1699
Toarcien,2467
Emsian,7587
Pleistocene Lower,164
Ibexian,420
Kralodvorian,420
Trentonian,1188
Late Devonian (Famennian),5796
Bathonian - Callovian,165
Coniacien,1701
Wasatchian,38821
Parkinsoni,166
Montehermosan,166
Jeffersonian,422
Ashgillian,2214
Rhuddanian,4774
Oxfordien-Kimméridgien,167
Late Ordovician,1959
Richmondian,9639
Late Pliocene,11432
,2156151464
Balcombian,425
UINTAN,3497
Vendian,170
Serravallien,2474
Sarka,171
Albian/Cenomanian,171
Rancholabrean?,427
Lancian,7595
Rhétien,172
Pirgu,940
Schoharian,173
Templetonian,173
Emsien,941
Wildernessian,1965
Tremadoc,3501
LATE,174
Lowermost Mississippian -Tournaisian,174
Albian,35502
Turinian,431
Champlainian,431
Eifelien,687
Djulfian (Dzhulfian),687
MIDDLE CHADRONIAN,943
4,688
Puercan,2992
early Early,177
Early Hemingfordian,433
Middle Devonian (Givetian),1457
Middle Miocene,17585
Burdigalian,21425
MP 28,178
Skullrockian,178
Solvan,946
Kimmeridigian,1458
Arenig,3506
Early Clarendonian,179
Lower Devonian (Pragian),435
Lower Purbeckian,691
Middle Oxfordian,3507
Atdabanian,5555
Wuliuan,6323
Late Llandeilo,180
MN 14,181
Botomien,949
Davoei,1205
Late Llanvirn,1461
Late Oxfordian,4789
Vindobonian,182
WHITNEYAN?,694
Sub-recent,950
Early Campanian,4534
Hallian,183
Late Hettangian,951
Tabianian,184
Yeadonian,184
Caerfai,184
Pusgillian,440
"RECENT, CA. 5000 YEARS B.P.",440
BRIDGERIAN; GARDNERBUTTEAN,2488
Aalenian,3256
"{ ""geologicAge"" : ""Carboniferous""}",185
Idavere,185
MN 13,185
Llanvirnian,185
Early Hettangian,953
Nabala,186
Luisian,442
Delmontian,187
Eifelien?,187
Wisconsinan,443
Bithynian,955
Ravenian,188
Niuchehean,444
Tuvalian,1980
Torrejonian,4540
Paleocene,4796
Oxfordien,8892
Edmontonian,189
Middle Coniacian,445
Narizian,701
Turonian-Coniacian,701
Tommotian,1982
TIFFANIAN,2238
Pliensbachian,7870
Branchian,191
Sarmatian,1471
Atokan,3263
Cardocian (Berounian),192
"{ ""geologicAge"" : ""Tertiary, Late; Pleistocene, Early""}",448
Middle Berriasian,448
Early Maastrichtian,7360
Priabonian,24768
Toyonian,449
Lower Campanian,1729
Late Bathonian,1985
Wordian,12993
Murchisonae,194
Rancholabrean,7363
Franconian,964
Pelsonian,4036
Holocene,10180
Upper Permian,197
Oriskanyan,453
St Davids,709
Chemungian,2245
Upper Darriwilian (Dobrotivian),198
Waiauan,198
Late Devonian (Frasnian),198
Aegean,966
MN 10,199
Induan,8903
Zlichovian,456
Late Tiffanian,712
Early Givetian,968
IRVINGTONIAN,1480
Early Jurassic,2761
Chadian,3785
Early Cenomanian,5065
Toarcian,5577
Upper Mississippian: Middle Chesterian,458
Vormsi,458
Devonian,970
Cassinian,1226
Edenian,4554
Valanginian,5066
Berriasian,9162
Visean,18378
Deseadense,459
Onnian,204
Ordovician,460
middle Turonian,460
Early Tithonian,6605
MN 2,206
Pennsylvanian (Missourian),462
Angulata,718
Sevatian,2254
Wenlockian,2255
Late Miocene,13263
Holocène,208
Hemingfordian,2512
Aquitanien,3792
Aalénien,209
Westphalian A,722
Sénonien,2258
Middle Hettangian,211
Barstovian NALMA,467
Priabonien,1235
Piacenzian,20691
Monroecreekian,212
"{ ""geologicAge"" : ""Tertiary, Late""}",212
Bendigonian,212
Namurian,468
Steptoean,724
Olenekian,1492
Aptien,1748
Aptian - Albian,3284
Middle Pleistocene,28884
Campanian - Baculites compressus Zone,469
Maestrichtian,469
Uhaku,214
Liassic,470
Wangcunian,470
Quaternary,1238
Hirnantian,3798
Oxfordian-Tithonian,215
Cretaceous (Cenomanian),215
MIDDLE,216
EARLY WISCONSINAN; RANCHOLABREAN,472
Helvétien,472
Duchesnean,728
Late Hemphillian,985
Wufeng,218
Cisuralian,218
Hamiltonian,218
Westphalian,474
Early Famennian,1498
Ashgill,2010
Late Sinemurian,2266
Illyrian,3034
Botomian,3034
late Albian,219
Oretian,219
Relizian,475
Pennsylvanian (Virgilian),1499
Thouarsense,476
Planorbis,476
UPPER,732
Late Famennian,2268
Late Paleocene,2524
HEMINGFORDIAN,221
Graybullian,477
Rangerian,478
Middle Devonian (Eifelian),734
Menevian,734
late Maastrichtian,1502
Bajocian,8926
Albien - Cénomanien,223
Ludlow / Wenlock,223
Early Coniacian,479
Deseadan,991
Lower Lias,1759
Astaracian,224
Alexandrian,480
Early Eocene,5088
Orellan NALMA,225
Raricostatum,481
Arenigian,1761
Jurassic,226
Dapingien,226
early-early,226
Late Hauterivian,2530
"NAMURIAN E2B, CHESTERIAN",2786
Siegen,227
Johvi,227
Upper Lias,739
Recent,1251
Late Berriasian,1251
ORELLAN,4068
LATE HEMINGFORDIAN,485
Duyunian,485
Lacian,3045
Messinien,6885
Early Devonian (Helderbergian),230
Eifélien,230
Lostcabinian,998
ARIKAREEAN,998
Cincinnatian,5094
Tithonian,6886
Lasnamagi,231
MN 17,231
Obtusum,231
Turonian/Coniacian,231
late-early,487
Homerian (Upper Wenlock),743
Praguien,999
Waipawan,232
Chazyan,2536
Pennsylvanian (Desmoinesian Stage),745
Early Paleocene,1513
Upper Devonian (Famennian),234
MN 3,234
late Triassic (middle Carnian),234
EOCENE,490
Hauterivien,746
Tiffanian,5866
Miocene,7402
Lutétien,17898
Mayan,235
Late Ordovician (Edenian),235
Neocomian,1259
Zhanarykian,236
Wolfcamp,236
Soudleyan,1260
Dobrotivian,749
Kirkfieldian,749
Subatlanticum,1261
Ludfordian,4077
Upper Osagean,238
Middle Tithonian,750
late,2030
Callovian,15598
Early Llanvirn,495
Telychian,6127
L. Ashgillian(Kralodrorian),240
Middle Devonian,2288
Volkhov,497
Alaunian,1265
Early Pliocene,7665
Taoyuanian,1010
Dresbachian,2034
Thanétien,2546
Santonien,3570
Kashirian,243
Stampian,243
Middle Irvingtonian,243
Blackriverian,499
Late Devonian,499
WASATCHIAN; GRAYBULLIAN,1267
Bartonien,10227
Discites,244
Upper,245
Tournaisian / Kinderhookian,245
EARLY DUCHESNEAN,757
Rupélien,3573
Darriwilien,4853
Early Oligocene,7413
Langhian,8949
Upper Pennsylvanian (Stephanian equivalent),246
Scythian,502
Gorstian,2550
Middle Eocene,8950
Upper Pennsylvanian: Gzhelian,247
LATE DUCHESNEAN,247
Cuisian/Lutetian,247
Uintan,2295
Moscovian,5879
Chattian,11767
Whitwellian,248
Jiangshanian,248
Weichselian,1016
Middle Bathonian,2040
CLARKFORKIAN,249
late Early,1017
Anisian,11257
Aseri,250
LOWER,250
Waucoban,250
Stairsian,250
Late Oligocene,4858
Tortonien,7162
Late Campanian-early Maastrichtian,251
Rakvere,251
Batyrbaian,251
Rusingan,251
Aptian/Albian,251
MN 15,251
Blackhillsian,507
Early Callovian,2299
Irvingtonian,6139
Drumian,8187
Barstovian,21499
Givetian,29947
Otaian,764
Early Kimmeridgian,2300
Darriwilian,3068
Spathian,3580
Kimmeridgian,13820
Lutetian,26620
L. Darriwilian,253
WISCONSINAN/RECENT; RANCHOLABREAN/RECENT,253
Carnien,253
MIDDLE ORELLAN,509
Serravallian,8957
Late Eocene,13309
"{ ""geologicAge"" : """"}",14589
Downtonian,510
Ediacaran,1022
Early Hauterivian,2046
MN 16,255
Ibex,1535
Middle Callovian,1791
