occurrenceStatus,reps
Forming large mats,1
Forming large patch.,1
Forming large patches,1
Forming thick masses,1
Forming thick stands; localized,1
Forms localized groves along river,1
"Forty plants, half in bloom",1
Foto,14
Found abundantly in forests during early part of wet season.,1
Found as fragments on Utricularia purpurea plants,1
"Found growing in a clump; possibly the most abundant grass around the marsh (Section II and III), as well",1
Found in a number of locations along same road.,1
Found in other areas of this ANSI,1
Found only on this island,1
Four,1
Four large shrubs,1
Four large tufts seen,1
Frecuente,9
Frequent,304
Frequent along edges of bush road and present but less so in the woods.,1
Frequent along old unused road.,1
Frequent and locally rather common on drier sites,1
Frequent around lake & above but not below beaver dam at foot of lake,1
Frequent at more active seepage,1
Frequent here.,1
Frequent in Sphagnum,1
Frequent in a few areas,1
Frequent in a few less trampled sites.,1
Frequent in a local area.,1
Frequent in a very small area of the oppening,1
Frequent in colonies.,1
"Frequent in large dense colonies all along highway, the main dominant locally in ditches.",1
"Frequent in more open, moist areas along ditch.",1
Frequent in one small area,2
Frequent in open areas.,1
Frequent in ponds.,1
Frequent in sprawling clumps.,1
Frequent in this area,1
Frequent locally,1
Frequent locally in shallow water to 1dm deep.,1
"Frequent locally, the only pondweed seen in the shallow water.",1
Frequent locally.,1
Frequent low shrub,1
Frequent low shrub.,2
Frequent now.,1
Frequent on edges and in thickes in openings W side of river.,2
"Frequent on floating peat ""islands""",1
Frequent on one point over a small area,1
Frequent on slope.,1
Frequent over several square m,2
Frequent seasonal marl pools,1
Frequent shrub,4
Frequent shrub in opener areas,1
Frequent shrub.,1
Frequent small tree,2
Frequent throughout the area in open spots,1
Frequent trailing shrub,1
Frequent tree,2
"Frequent, but not abundant",1
"Frequent, dense colonies",2
"Frequent, dense stands.",2
"Frequent, extensive colonies",1
"Frequent, hundreds seen.",1
"Frequent, in dense patches",1
"Frequent, locally a dominant, forming clumps as well as swards.",1
"Frequent, numerous scattered plants along the ditch.",1
"Frequent, very variable in size",1
Frequent.,71
Frequent; locally a dominant.,1
"Frequent; small dense colonies; 10-15 cm high, abundant in cladonia-polytrichum mat",1
Frequente,4
Frequente & abundante,3
Frequente e muito abundante na região.,1
Frequently; dense ? colonies 25 cm,1
From a large patch.,1
From cultivated shrub,1
General and plentiful,1
"Gifted to the Carnegie Museum of Natural History (CM 135911), Deaccessioned on 2 February 2015",1
"Gifted to the Cornell University Museum of Vertebrates, Deaccessioned on 2 February 2015",1
Gregarious herb in patches,1
Group of 5 Crataegus.,1
Group of 7 trees.,1
Group of a few plants.,1
Group of plants,2
Group of plants.,2
Group of same.,1
Grove of 100+ trees,3
Growing in a large loose colony.,1
Growing in a large patch,1
Growing in large clumps.,1
Growing in large patches,1
Growing in mat.,1
Growing in mats.,1
Growing singly or in dense patches or small groups,1
Growing singly.,1
Here abundant as shrub understorey.,1
Here abundant.,1
Here strinkingly plentiful,1
High,18
Historic,6
Huge population (100+),2
Huge thickets of this species.,1
Hundreds in adjacent ravine.,1
Hundreds of plants,1
Hundreds of plants along roadsides for considerable distances.,1
"Hundreds of plants in a tight, closely packed colony.",1
Hundreds of plants in low spots.,1
Hundreds of plants in tufted groups,1
Hundreds of plants scattered in groups.,1
Immense stands,1
Immense thicket of this sp,1
"In House Loan, Specimen in Art Room.  Removed from Collections:  17 June 2002",1
"In House Loan, Specimen in the Black Mesa Diorama.  Prepared for the exhibit and installed in March 2011.",4
"In House Loan, Specimen in the Black Mesa Diorama.  Prepared for the exhibit and installed in May 2011.",42
"In House Loan, Specimen in the Orientation Gallery.  Prepared by taxidermist in 2009.",1
"In House Loan, Specimen in the Orientation Gallery.  Removed from Collections:  February 2009.",11
"In House Loan, Specimen in the Orientation Gallery.  Removed from Collections: 24 June 2011.",2
"In House Loan, Specimen on Exhibit (Orientation Gallery). Removed from Collections in February 2009",16
"In House Loan, Specimen on Exhibit (Orientation Gallery). Removed from Collections: 27 March 2009",1
"In House Loan, Specimen on Exhibit at the Will Rodgers International Airport.  Removed from Collections:  25 April 2002.  Returned to Collections: 19 February 2003",2
"In House Loan, Specimen on Exhibit.  Removed from Colections:  3 April 2000 (V. Byre)",1
"In House Loan, Specimen on Exhibit.  Removed from Collections:  25 April 2000",1
"In House Loan, Specimen on Exhibit.  Removed from Collections:  5 April 2000",1
"In House Loan, Specimen on Exhibit. Removed from Collections Prior to May 2001.",1
"In House Loan, Specimen on Exhibit. Removed from Collections: 3 April 2000",2
"In House Loan, Specimen on Exhibit. Removed from Collections: June 2002",1
In a large colony of same.,1
In clumps,1
In colonies of 75-100 plants - common thru-out.,1
In large clump,1
In large clumps.,1
In large colonies.,1
In large loose clumps.,1
"In restricted area, not very common",1
In small clump or singly.,1
In the Discovery Room from 1999 to present day,1
In the Discovery Room from 2000 to present day,1
In thick clumps.,1
In thicket of same.,1
In wonderful profusion.,1
Incidental fellings,3
"Incredibly abundant, to exclusion of others",1
Infested,615
Infrequent,49
Infrequent along canal road,1
"Infrequent in Norfolk, in wet soils.",1
Infrequent.,26
"Introduced from Europe, now largely exterminated",1
Introduced orchid scattered throughout this woodlot,1
Irregular,561
Isolated and scattered population.,1
Isolated bush,1
Isolated individual,2
"Isolated individual - but within bee range of C-G-86,2",2
Isolated individuals,6
Isolated individuals.,1
Isolated plant; locally abundant.,1
Isolated plants.,1
Isolated scattered stalks; common over large area.,1
Just one spreading plant seen,1
Killed,44
Large area of plants.,1
"Large area of sterile forms, few fertile",1
Large areas of plants.,2
Large bed of plants.,1
Large beds.,1
Large clones,1
Large clump,9
Large clump of plants,1
Large clump.,3
Large clumps in caespitose stands.,1
Large colonies,3
Large colonies.,1
Large colony,3
Large colony 10 x 5 metres,1
Large colony about 40 by 10 m,1
Large colony of plants 1992 up into the lower border of woods.,1
Large colony of plants.,5
Large colony.,9
Large compact colony,1
Large dense colony,1
"Large dense colony, also small cultivated colony at nearby dwelling",1
Large dense patch,4
Large dense patch & scattered plants,1
Large dense patch.,1
Large mass.,1
Large masses,1
Large masses of plants.,1
Large mats.,1
Large number of plants; very localized area,2
Large numbers of plants,1
Large often dense patches,1
Large patch,5
Large patch of plants.,2
Large patch of robust plants,1
"Large patch, spreading",1
Large patch.,13
Large patch; Occasional.,1
Large patches,1
Large patches of plants.,1
Large patches.,2
Large plentiful patch.,1
Large plot of plants.,1
Large population 100+,1
Large spreading area of plants.,2
Large stand,2
Large stand near shore.,1
Large stand.,1
Large stands with hundreds of flowering culms,1
Large stretch of plants.,1
Large tree,1
Large tree among several seedlings.,1
"Large, dense colony.",1
"Large, dense stand",1
"Large, showy clumps",1
Leaf margin undulate,1
Left in the forest,67
Lit.platens.,1
Little Abundant,2
Little Abundant on location,1
Loan skull only for SEAM scanning project  28 November 2011 - 28 February 2012,1
Local,57
Local along railway,1
Local and scattered occurrence.,1
Local and uncommon,3
Local dense stands.,1
"Local, 20+ plants in flower",1
"Local, also along forest fringe and in successional area.",1
"Local, but 100+ plants",1
"Local, single patch.",1
Local.,34
Localized,2
Localized here,1
Localized.,1
Localized; rare.,1
Locally Abundant,5
Locally Common,2
Locally Dominant,2
Locally abundant,65
Locally abundant at scattered locations.,1
Locally abundant in clumps; isolated,1
Locally abundant in rock crevices.,1
Locally abundant in scattered colonies.,1
Locally abundant in scattered patches.,1
Locally abundant in wet sedge zone of bog,1
Locally abundant in wettest spots,1
Locally abundant trailing on ground,1
"Locally abundant, but occasional",1
"Locally abundant, including seedlings",1
"Locally abundant, several 100 plants.",1
Locally abundant.,57
Locally abundant; apparently escaped from nearby garden,1
Locally abundant; few individuals.,1
Locally abundant; patch of ca. 20 sq. m,1
Locally common,74
Locally common (100s of plants),1
Locally common but otherwise rare,1
Locally common here.,1
Locally common in dense patches of hundreds of plants.,1
Locally common in one spot.,2
Locally common in only a few localities.,1
Locally common in patches,1
Locally common on drier ground.,1
Locally common to abundant,1
Locally common with water lilies,1
"Locally common, 100+ clumps",1
"Locally common, around 30 trees in a relatively small area",1
"Locally common, but not found elsewhere around lake.",1
Locally common.,60
Locally common: many fruiting plants,1
"Locally common; hundreds of plants in low, moist areas of woods",1
Locally dominant,1
Locally dominant in ditch,1
"Locally dominant stand of several hundred stems to a 5 cm DBH, one other stand W of this one",1
Locally fairly common,1
Locally frequent,18
Locally frequent especially in mature spruce woods,1
Locally frequent in patches on the lower part of the bank.,1
Locally frequent near large honor roll tree,1
Locally frequent on sandy shores.,1
Locally frequent shrub,1
Locally frequent shrub in opener areas,1
Locally frequent species.,1
Locally frequent trailing shrub,1
"Locally frequent, almost all sterile",1
Locally frequent.,18
Locally numerous,11
Locally rare,1
Locally rare; one individual only.,1
Locally rare; only three individuals.,1
Locally rater common,1
Locally scarce (5 trees),1
Locally scattered.,1
Locally sparse.,1
Locally.,1
Lone bush,1
Lone bush.,1
Lone specimen.,1
Lone tree,2
Lone tree at forest edge,1
Lone tree.,2
Lost,1
Lots,1
Lots.,1
MP,32
"MP,R (N)",2
"MP,R(N)",2
"Males are a lilac blue with greyish brown margins. Females are similarly marked, but are dusky btown with bluish suffusion of the wing bases. The underside of both sexes is pale brown with white markings and white-ringed black spots on the forewings.",9
"Males are very distinctive with white-barred, black forewiings. The hindwings are dark brown with broad, central bands of deep orange. Females are larger and havee brown wings with pale orange central bands. Palla butterflies are fast powerful fliers.",1
"Males have dark brown wings awith blackish brown markings, and a diffuse, whitish gray band on the forewing. Females are larger and paler, and are usually marked with varyingvdegrees of white on bothe fore-and hindwings. The undersides of both sexes are pale brown with a band of blackish spots along the wing margins and lackish rings at the wing base.",1
"Males have the upper wings rich velvety black. The forewing has a postdiscal band composed of internervular broad blue streaks gradually shortened and obsolescent anteriorly, not extended beyond interspace. The hindwing has the terminal three-fourths beyond a line crossing the apical third of the cell pale blue, or greyish blue, with superposed postdiscal, subterminal and terminal series of black spots?the postdiscal spots elongate, inwardly conical; the subterminal oval, placed in the interspaces, the terminal irregular, placed along the apices of the veins and anteriorly coalescing more or less with the subterminal spots.",1
"Males of this species have a broad oange bar on the forewing, givinf rise to the common name. Females are yellow or white with brown or black markings on both the fore- and hindwing borders. The underside is variably colored with salmon-pink and purplish hues. The butterfly is also commonly known as the yellow apricot.",1
Many,2
Many bushy young trees,1
Many clumped plants.,1
Many clumps of plants.,1
Many clumps.,3
Many clustered shrubs from 1-3 m high.,1
Many conspicuous plants,1
Many dense clumps,1
Many dense clumps.,1
Many flat clumps.,1
Many in area.,2
Many individuals on hillside.,1
Many local plants,1
Many other seedlings.,1
Many plants,14
Many plants but only three widely separated flowers,1
"Many plants close together, with another colony farther out on the point.",1
Many plants close together.,1
Many plants connected by underground stolons,1
Many plants forming dense colonies in 1 spot.,1
"Many plants in a couple of loose, tangled colonies.",1
Many plants in colony.,1
Many plants in most active seepage,1
Many plants over a wide area,1
Many plants scattered over dunes.,1
Many plants seen on Sphagnum mats in this area,1
"Many plants, dense patch",1
"Many plants, though only in the one bay.",1
Many plants.,31
Many scattered colonies.,1
Many scattered patches of plants.,1
Many scattered plants,4
Many scattered plants and groups.,1
Many scattered plants and loose groups.,1
Many scattered plants and small groups.,1
Many scattered plants in woods,1
Many scattered plants.,2
Many scattered seedlings,1
Many scattered tufted plants,4
Many scattered tufts (15-20).,1
Many single plants.,1
"Many species of this genus have forms that match closely that they are very difficult to distinquish. The underside of the form illustrated is similar to the upperside, but is lighter and has red spots at the base of the hindwing. These butterflies fly with the small postman but tend to avoid direct sunlight.",16
"Many species of this genus have forms that match closely that they are very difficult to distinquish. The underside of the form illustrated is similar to the upperside, but is lighter and has red spots at the base of the hindwing. These butterflies fly witht hte small postman but tend to avoid direct sunlight.",1
"Many species of this genus have forms that match so closely that they are very difficult to distinguish. The underside of the form illustrated is similar to the upperside, but its lighter and has red spots at the base of the hindwing. These butterflies fly with the small postman (Heliconius erato) but tend to avoid direct sunlight.",1
Many speices of this genus have forms that match so closely that they are very difficult to distinquish. The underside of the form illustrated is siimilar to the uppersidem but is lighter and has red spots at the base of the hindwing. These butterflies fly with the small postman (Heliconius  erato) but tend to avoid direct sunlight.,4
"Many tufted, scattered plants",1
Many weedy plants.,1
Many widely scattered plants.,1
Many.,1
Masses of plants.,3
Mat 4 ft. diameter,1
Mat of plants.,1
Maximum Cover: 1-5%,2
Maximum Cover: 26-50%,1
Maximum Cover: 51-75%,3
Maximum Cover: 6-25%,5
Maximum Cover: 76-95%,2
Maximum Cover: 96-100%,19
May be regionally rare.,3
Medium,15
Medium density (mostly C.monogyna),4
Medium-high,14
Medium-high density,7
"Melitaea cinxia has a wingspan of about 33?40 millimetres (1.3?1.6 in).[12] These medium-sized butterflies have orange, black and white ""checkerspot"" forewings. On the upperside of the hindwings they have a row of black dots. The hindwings have white and orange bands and a series of black dots inside them, also clearly visible on the reverse. Females are usually more dull than males with more developed black dots. Caterpillars are about 25 mm long with a reddish-brown head and a spiny black body with small white dots. Melitaea cinxia is rather similar to the heath fritillary (Melitaea athalia), but the beige and orange bands on the underwings are distinctive. Moreover the latter one has no spots on the upperside of the hindwings.",3
Migratorio,11
Missing Wing:  August 2002,1
Missing as of July 2012,1
"Missing from Collections, 2012",2
"Missing in 2000 Inventory, but Present in 1991 Inventory.  Returned to Collections: 2005",1
"Missing, Record created for missing catalog number",2
Mod. common,1
Mod. common.,1
Moderate abundance,2
Moderately common,6
Moderately common in restricted areas,3
Moderately common.,2
More than 100 plants.,1
More than 5 flowering plants in 1 m sq. area,1
More than 50 plants with stems frequently leaning over the water,1
Most common aster,1
Most common tree in that area,1
Most frequent species in this part of gully,1
Most plentiful,1
Muito abundante,4
Muito abundante & frequente,2
Muito comum,1
Multiple individuals,1
Muy común,136
NA,41735
ND,6
NT,1847
Naturally occuring,5
Ne Sait Pas,321113
Non observé,2710
Not abundant,1
Not abundant.,1
Not as plentiful here as S. cserei.,1
Not available for destructive sampling,2
Not common,5
Not common in Norfolk.,1
Not common shade tree in region,1
Not common.,5
Not frequent,9
Not frequent in park.,2
Not frequent.,2
Not numerous.,2
Not plentiful.,1
Not rare.,1
Not seen in area before.,1
Not uncommon.,1
"Not very abundant, but quite a few.",1
Not very common,1
Not very common around the swamp; usually grew very close together.,1
Noted because this form was the only one present.,2
Noticed also at 2 other stations on Pine Spring Rd.,1
Numbers southern and rare species present at this locality,1
Numerous,9
Numerous areas of plants.,1
Numerous at this site.,1
Numerous clumps of filiform leaves with few culms,1
Numerous here.,2
Numerous in +/- 1/2 acre. Many in bud.,1
Numerous individuals,2
Numerous large clumps with hundreds of plants,1
Numerous large plants.,1
Numerous patches of plants.,1
Numerous patches.,1
Numerous plants,1
Numerous plants.,5
Numerous scattered colonies,1
Numerous scattered plants.,1
"Numerous scattered seedlings, saplings and small trees seen in various parts of Collingwood.",1
Numerous seedlings,1
Numerous shrubs and thickets.,1
Numerous southern and rare species present at this locality. Common in moist areas,1
"Numerous, widely scattered shrubs",1
Numerous.,4
Observed in Breeding Season,1266
Occasional,7596
Occasional & colonial,1
Occasional & locally abundant at a few places,1
Occasional along roadsides,1
Occasional at this site.,2
Occasional clumps,1
Occasional clumps.,1
Occasional colonies,1
Occasional here.,1
Occasional in small colonies.,1
Occasional in the situation.,1
Occasional large plants in fruit.,1
Occasional locally,1
Occasional patches,2
Occasional through lower areas of old sand dunes,1
Occasional through woods,1
Occasional to rare,1
Occasional tree.,2
"Occasional, 21 plants in 2 locations.",1
"Occasional, 26 plants.",1
"Occasional, about 6 trees along W side of road.",1
"Occasional, but rarely in flower.",1
"Occasional, several locations",1
"Occasional, small colony.",1
Occasional-Abundant,1
Occasional.,404
Occasional: 23 plants in 2 locations.,1
Occasionally seen in small patches.,1
"Occasionally, small clumps",1
Occasionally.,1
Occasionally; few small clumps,1
Occasionally; small colonies,1
Occassional 1 occurrence,1
Occupant completement le ramblai du chemin de fer sur un demi-mille de longueur.,1
Occupying whole cleared slope (about .5 hectare).,1
Occurring fairly abundantly in this small area.,1
Old 8 ft. shrub.,1
On Loan: 9 June 2004,1
On loan 15 February 2007,1
On loan 8 March 2007,1
"On loan to Richard O. Prum, Yale Peabody Natural History Museum 11 March 2004",1
One,1
One 2 m tall shrub,1
One 3.5 m tall shrub,1
One branched plant 0.7 m tall,1
One bush.,1
"One clone, rare in region.",1
One clump,11
One clump of 3 stems. 2 other plants nearby which had not flowered,1
One clump of 5 plants,1
One clump of about one dozen stems to 0.8 m,1
One clump of plants,1
One clump of small trees,1
One clump only,4
One clump only here,1
One clump.,2
One colony,2
One colony in centre-north of thicket,1
One colony.,1
One colony.  Local.,1
One creeping stem many feet long,1
One dense 4 x 2 m patch.,1
One dense clump 4 m dia. & 2 m high,1
One dense clump.,1
One dense patch (1 x 0.5 m),1
One dozen plants.,1
One flower bud seen,1
One flowering plant,1
One flowering plant.,1
"One group of plants, with 9 blossoms.",1
One large (1 x 3 m) patch,1
One large (sterile ?) patch ca. 5 x 2m,1
One large branching plant with pink flowers,1
One large bush and scattered seedlings,1
"One large clone, ca. 3 m in diameter.",1
One large clone.,1
One large clump,4
One large clump & 2 separate plants seen,1
One large clump of hundreds of plants,1
One large clump with Sorgastum nutans and Andropogon E side of river.,1
"One large clump, flowers rose-purple",1
One large clump.,4
One large colony,3
One large colony and scattered individuals.,1
One large colony ca. 3 by 4 m,1
"One large colony, perhaps a single clone.",1
One large colony.,1
One large patch,15
One large patch (ca. 160 plants in 3 x 6 m area),1
One large patch 7 m. long.,1
One large patch about 10 x 4 m,1
One large patch in full flower,1
One large patch of several square meters.,1
One large patch probably escaped from garden.,1
One large patch which has not enlarged noticeably over the past 5 years.,1
"One large patch, expanding by growth of rhizomes.",1
One large patch.,7
One large plant,3
"One large plant, spreading widely",1
One large shrub,3
One large tree (198 cm in diameter !),1
One large tuft.,1
One of 45 plants,1
One of 9 plants,1
One of a group of 3 shrubs,1
One of group,1
One of many seedlings of diverse size at this locality,1
One of the dominant tree species,1
One of the dominants of the field.,1
One of the dominants of the marsh,1
One only.,1
One or two flowering plants,1
One or two specimens,1
One patch,7
One patch (ca. 30 flowering stems),1
One patch 2 meters diameter,1
"One patch ca. 20m in one opening, not seen elsewhere",1
One patch of several sq. yds.,1
One patch.,3
One plant,16
One plant ca. 50 cm tall.,1
One plant only,3
One plant seen,4
"One plant, 2 fronds collected",1
"One plant, 60 cm tall",2
One plant.,3
One plant; no other plants of this species or evidence of abandoned garden in immediate vicinity.,2
One robust clump,2
One robust clump.,1
One robust patch,1
One robust patch.,1
One sapling,1
One shrub only noted here.,1
One shrub to 2 m tall,1
"One shrub, 0.5 m tall",1
One shrub; very common in fields on N side of Timm Dr.,1
One small (1 x 0.5 m) patch,1
One small clump,1
One small clump.,2
One small colony,1
One small colony seen in this area,1
One small group of plants,1
One small patch,2
One small patch of several dozen stems seen.,1
One small patch.,1
One small plant,2
One small seedling,1
One small stunted shrub,1
One small tree,3
One small tree near building,1
"One small, dense patch of a few square yards.",1
One solitary tuft seen,1
"One stand, ca 40 flowering stems",1
One tree,3
One tree 8 m tall. Erect branches,1
One tree by old highway,1
One tree ca. 28 cm DBH (with 6 root suckers 1-1.5m tall),1
One tree ca. 8 m tall,1
"One tree only , 2 m tall",1
"One tree, 3-4 m tall",1
"One tree, 5 m tall, dying at the top",1
"One tuft at point of collection, but also scattered elsewhere along beach.",1
One unarmed shrub,1
One very large clump and a few smaller ones.,1
One very large patch,1
One very large tuft,1
One.,1
"Only 1 good colony c 5x5 yds, growing with parents",1
Only 1 plant seen,1
Only 1 plant seen.,1
Only 1 seen.,1
Only 1 specimen seen.,2
Only 2 patches.,1
"Only 2 plants were found, a flower was taken from each",1
"Only 3 blooms seen, Asian species, may have been planted",1
Only 5 individuals noted here.,1
Only a few plants found.,1
Only a few plants in this location.,1
Only a few plants seen.,1
Only a few specimens,1
Only a large clump.,1
Only a single specimen seen.,1
Only a very few plants were present.,1
Only few here.,1
Only hawthorn for miles around.,1
Only hawthorn in area.,1
Only hawthorn within view.,1
Only one at this site.,1
Only one clump seen.,1
Only one ever seen in area.,1
Only one here.,1
Only one individual at this site; locally abundant.,1
Only one patch.,1
Only one plant found,1
Only one plant found.,1
Only one plant here.,1
Only one plant seen,3
Only one plant seen.,2
Only one plant was seen,1
Only one seen,2
Only one seen here.,2
Only one shrub. Abundant with fruit,1
Only one small group of plants seen,1
Only one specimen found,1
Only one specimen seen,1
Only one tree noted,1
Only one vegetative plant seen,1
Only one.,1
Only plant in area.,3
Only scattered clumps seen not common.,1
Only this one shrub seen.,1
Only two or three plants seen,1
Only two plants seen,1
"Only two plants seen, one plant in fruit",1
Outbreak,248
Over 50 plants,2
Over 50 plants seen,1
Over 90 plants.,1
Over a dozen plants,1
Over fifty plants seen,1
P,1091847
"P. palinurus but very much broader; the discal band of the forewing measured on the dorsum occupies considerably more than one-third of the dorsal length, while the discal band of the hindwing is as broad posteriorly as it is anteriorly (in P. Papilio palinurus has a wingspan reaching about 8?10 centimetres (3.1?3.9 in). The dorsal sides of the wings are covered by a powder of green scales and the background vary from dark greenish to black, with broad bright emerald green metallic bands. The undersides are black with orange, white and blue spots along the edges of hindwings, that show extended tails at the end. The flight of these butterflies is swift and quite fast. Caterpillars feed on plants of genus Euodia belonging to the Rutaceae, commonly known as the rue or citrus family.",2
"P. panthonus. Forewing in both sexes black, with reddish marginal spots; hindwing with a regularly curved row of separated red spots. Scent-wool white. Guiana and [following text refers to Parides burchellanus (Westwood, 1872) Brazil, in two subspecies. ?numa Boisd. (= jaguarae Foett), from Brazil (Sao Paulo and Minas Geraes), has small, widely separated spots. ? In panthonus Cr. (3 b, 5 a), from the three Guianas, the spots on the hindwing are somewhat larger. This form most probably occurs also on the north side of the Lower Amazon]",1
Pair,113
Papilio deiphobus[1] is a species of swallowtail butterfly in the Papilioninae subfamily. It is found from the Mollucas to Sulawesi in Indonesia. The wingspan is 130?160 millimetres (5.1?6.3 in). The larvae feed on Citrus species,1
Part of large thicket,1
Particularily plentiful,1
Patch 10 x 10 ft.,1
Patch 15 m across,2
Patch 30 by 30 feet.,1
Patch about 3 m diam,1
Patch about 50 feet across.,1
Patch in opening.,1
Patch of 6 plants.,1
Patch of about 2 sq m,1
Patch of about fifty plants,1
Patch of ca. 100 sq.m,1
Patch of ca. 25 sq.m,1
Patch of fifty crowded rosettes,1
Patch of plants 250 ft. long by 18-20 ft. wide (area 2X as large in 1992).,1
Patch of plants.,3
"Perhaps one of two areas on shield, other in Ottawa Valley, T.R.",1
Pink floweres with white dots.,1
Planted extensively along river bank.,1
Plants abundant,1
"Plants extremely abundant, forming cover over much of the soil along railway sidings; widely scattered elsewhere in vicinity.",1
Plants in a dozen places.,1
Plants numerous,1
Plants on beach at Whitby Harbour destroyed in 1995 with landscaping.,1
Plants scattered,2
Plants scattered and fairly numerous in this location.,1
Plants scattered through bog.,1
Plants widely scattered but frequent.,1
Plentiful,65
Plentiful along thicket fringe,1
Plentiful along this portion of creek.,1
Plentiful and extending on both shoulders for 50 m.,1
Plentiful everywhere.,1
Plentiful for 300 m,1
Plentiful here,11
Plentiful here but never seen in area before,1
Plentiful here but scattered throughout area,1
Plentiful here for 50 m,1
Plentiful here.,1
Plentiful in drier woods,1
Plentiful in mesic locations.,1
"Plentiful in rich beech, maple and balsam woods, but not common in the area",1
Plentiful in spots particularly at this site,1
Plentiful in woods,1
Plentiful over considerable distance.,1
Plentiful.,37
Población introducida,1
Poco común,190
Population 20+.,2
Population of 1,3
Population of 10 trees and several seedlings.,2
Population of 10+ trees,2
Population of 10.,2
Population of 100+ trees.,2
Population of 14 Cryptogramma crispa-western species rare in Ontario,1
Population of 14 trees.,2
Population of 15+ trees.,1
Population of 20+ trees.,2
Population of 4 large trees.,1
Population of 4 trees.,1
Population of 5 trees,1
Population of 5 trees.,1
"Population of 50+ trees, mostly 4-6 ft tall.",1
Population of 50+ trees.,6
Population of 6 trees.,1
Population of 6+,2
Population of 6+ young trees.,2
Population of 8 large trees and several seedlings.,3
Population of 8 trees.,3
"Population of C. douglasii var suksdorfii here not even-aged, suggesting that it is reproducing itself successfully.",4
Population of about 25 trees and seedlings.,1
Population of ca 15-20 trees.,3
Population of ca 35 trees.,2
Possibly Breeding,17800
Pouco abundante,3
Presence,49337
Presencia,15
Presencia ocasional,2
Present,87560495
Present (1% <= p < 5%),4940
Presente,222043
Presente en el area,995
"Previously plentiful, now scarce",1
Probably Breeding,16677
Probably the most common wetland sedge in this area of the park.,1
Processed,77
Profuse,1
Profusion of plants.,2
Prolific,1
Prolific.,2
Présent,68957891
Q,774046
Quite a few specimens,1
Quite a rare plant.,1
Quite abundant and widespread.,1
"Quite abundant in low areas between rocks, shallowly rooted, long trailing stems, green petals",1
Quite abundant locally,1
Quite common,1
Quite common in ditches.,1
"Quite common in fields, woods & roadsides in this locality",1
Quite common in the Mer Bleue,1
Quite common in the woods.,1
Quite common in valley near Lilloet.,1
Quite common.,2
Quite frequent for 1/4 mile along roadside.,3
Quite frequent in immediate locality,1
Quite numerous here,1
Quite numerous.,1
Quite plentiful,4
Quite plentiful here,2
Quite plentiful.,1
Quite rare,1
Quite rare here,1
R (N),16
"R (N), DL",1
R(N),4
"R(N),MP",1
R?(N),1
RE,41
RN,22
RT,15
"RWS 167. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 168. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 169. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 170. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 171. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 172. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 174. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 175. Population of C.douglasii var suskdorfii here not even-aged, suggesting it is reproducing itself successfully.",1
"RWS 176. Population of Cds here not even-aged, suggesting it is reproducing itself successfully.",1
Rampant.,1
Rare,5802
Rare & scattered.,1
Rare (10 - 20 sterile plants).,1
"Rare (one, possibly more)",1
Rare (p < 1%),6525
Rare 1-4,56083
Rare and local,24
"Rare and local in alvar; 20-30 plants seen, in 2 areas",1
Rare and local.,4
Rare at Sarnia,1
Rare but locally common where collected.,1
Rare here,1
Rare here.,1
Rare in Ontario,1
Rare in maturing Pine stand,2
Rare in pools at edge of river.,1
Rare in shady areas,1
Rare in sphagnum.,1
Rare in this habitat,3
Rare introduced shrub; scattered thoughout site.,1
Rare plant,1
"Rare, 1 plant 1 m high.",1
"Rare, 1 plant.",1
"Rare, 15 plants on each side of road.",1
"Rare, 2 stems scarcely, 1.3 m tall",1
"Rare, 3-5 plants",1
"Rare, Several clumps",1
"Rare, a few clumps",1
"Rare, a single large colony.",1
"Rare, a single patch of a dozen or more plants",1
"Rare, a single small patch.",1
"Rare, common 1 km S of here",1
"Rare, in this locality",2
"Rare, one clump",1
"Rare, one clump of shrubs in tiny clearing",1
"Rare, one plant",1
"Rare, one robust bush",1
"Rare, one robust clump",1
"Rare, possibly re-introduced",1
"Rare, scattered clumps",1
"Rare, two robust clumps",1
"Rare, two shrubs",1
Rare.,359
Rare.  Clump of 6 plants,1
Rare.  Small population 10 m x 10 m,1
Rare. All sterile,1
Rare. Found only in this area and Area I - northern sector,1
"Rare. Restricted to northernmost finger of Area 9 - in ravine south of school on west bank and to a similar habitat in Area 2, western sector",1
Rare. Single small plant,1
Rare. This is the only site,1
Rare. Very limited in number in Areas I and 6,1
Rare: +/- 30 plants,1
Rare: 4 mature trees,1
Rare: a few climbing up tree trunks,1
Rare: one clump,2
Rare: one clump.,1
Rare: one dense patch,1
Rare: one small tree,1
Rare: scattered plants,1
Rare: scattered saplings,1
Rare; 1 flowering plant seen,1
